Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,57,177,0,17.31,24823,57,120,0,0,0
2,48,225,0,17.11,24775,105,119,1,0,0
3,12,237,0,17.46,24763,117,117,3,0,0
4,17,254,0,17.21,24746,134,116,4,0,0
5,11,265,0,17.2,24735,133,120,12,0,0
6,35,300,0,31.06,24700,122,164,13,1,0
7,36,336,0,30.92,24662,116,201,18,1,2
8,20,356,0,17.54,24635,128,195,30,1,11
9,13,369,0,17.36,24616,131,201,36,1,15
10,10,379,0,17.59,24603,125,210,43,1,18
11,18,397,0,17.42,24580,116,232,47,2,23
12,27,424,0,17.65,24546,117,258,46,2,31
13,20,444,0,32.06,24512,122,271,48,2,45
14,17,461,0,32.09,24479,140,277,43,1,60
15,-3,458,0,17.44,24463,140,279,39,0,79
16,-1,457,0,17.62,24448,128,283,42,4,95
17,10,467,0,17.62,24427,115,300,50,2,106
18,13,480,0,17.63,24403,100,323,56,1,117
19,13,493,0,17.49,24379,97,334,59,2,129
20,20,513,0,31.29,24344,122,318,70,2,144
21,4,517,0,31.41,24324,116,330,69,2,159
22,14,531,0,17.7,24295,128,329,72,2,174
23,19,550,0,17.52,24266,137,340,70,3,184
24,-4,546,0,17.72,24247,121,349,72,3,208
25,20,566,0,17.56,24207,132,356,72,5,228
26,18,584,0,17.76,24171,150,357,70,7,245
27,33,617,0,32.1,24120,175,362,70,10,263
28,15,632,0,32.28,24083,188,366,69,8,286
29,11,643,0,17.63,24049,192,373,69,9,308
30,20,663,0,17.76,24009,193,386,74,9,329
31,10,673,0,17.8,23966,191,399,75,8,361
32,31,704,0,17.56,23911,203,420,72,8,386
33,7,711,0,17.66,23876,202,424,75,10,413
34,20,731,0,31.56,23832,215,432,75,9,437
35,34,765,0,31.57,23784,226,456,75,8,451
36,6,771,0,17.83,23748,211,470,82,6,483
37,16,787,0,17.7,23697,213,487,80,5,518
38,21,808,0,17.93,23648,217,505,79,5,546
39,49,857,0,17.98,23584,230,531,90,5,560
40,11,868,0,17.79,23544,235,533,91,7,590
41,25,893,1,31.67,23491,257,533,94,8,616
42,29,922,1,31.69,23437,266,547,99,10,640
43,26,948,1,18.06,23384,249,593,95,10,668
44,1,949,1,18.01,23347,240,594,104,10,704
45,19,968,1,17.82,23293,240,606,113,9,738
46,27,995,1,18.1,23232,255,616,114,9,773
47,25,1020,1,17.87,23173,255,637,115,11,808
48,38,1058,2,31.88,23105,286,645,116,10,836
49,27,1085,2,31.93,23048,295,657,124,9,865
50,8,1093,2,17.95,23003,285,677,122,9,902
51,15,1108,2,18.17,22951,283,683,132,8,941
52,29,1137,2,18.06,22881,276,711,142,7,981
53,8,1145,2,18.22,22826,276,724,135,9,1028
54,7,1152,2,18.05,22772,278,732,131,9,1076
55,44,1196,2,31.87,22690,308,738,140,9,1113
56,22,1218,2,31.91,22633,320,738,149,11,1147
57,16,1234,2,17.97,22575,316,760,145,10,1192
58,-1,1233,3,18.24,22526,302,773,143,15,1238
59,18,1251,3,18.23,22458,303,780,150,16,1290
60,3,1254,3,18.09,22402,282,790,165,17,1341
61,28,1282,3,18.03,22335,295,807,162,18,1380
62,37,1319,3,32.03,22258,309,819,171,18,1422
