Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,60,180,0,16.8,24820,60,120,0,0,0
2,54,234,0,16.93,24766,114,119,1,0,0
3,25,259,0,17.01,24741,139,116,4,0,0
4,6,265,0,16.99,24735,145,110,10,0,0
5,7,272,0,16.97,24728,136,125,11,0,0
6,43,315,0,30.94,24684,129,172,14,0,1
7,28,343,0,31.14,24651,120,203,20,0,6
8,30,373,0,17.12,24618,134,217,22,0,9
9,22,395,0,17.1,24592,145,221,26,1,15
10,16,411,0,17.19,24568,151,229,28,2,22
11,22,433,0,17.13,24542,139,262,29,3,25
12,24,457,0,17.15,24504,137,286,31,3,39
13,34,491,0,31.22,24455,161,290,35,5,54
14,31,522,0,31.33,24415,176,303,36,7,63
15,3,525,0,17.22,24398,171,302,45,6,78
16,18,543,0,17.33,24367,169,316,53,5,90
17,27,570,0,17.29,24330,167,345,53,5,100
18,35,605,0,17.39,24288,162,381,53,7,109
19,18,623,0,17.37,24254,161,394,61,7,123
20,37,660,0,31.56,24205,188,404,58,10,135
21,31,691,0,31.62,24159,205,413,59,13,151
22,11,702,1,17.39,24129,197,425,68,12,168
23,17,719,1,17.45,24095,191,439,79,10,185
24,16,735,1,17.37,24052,192,454,80,9,212
25,16,751,1,17.47,24011,187,470,84,10,237
26,13,764,2,17.5,23971,189,478,87,10,263
27,25,789,2,31.59,23922,204,483,94,7,288
28,30,819,2,31.65,23873,220,485,106,8,306
29,11,830,2,17.58,23832,222,497,103,8,336
30,10,840,2,17.55,23791,224,505,102,8,368
31,-1,839,2,17.58,23754,207,528,98,6,405
32,22,861,2,17.59,23701,219,540,97,5,436
33,17,878,2,17.61,23660,203,565,103,7,460
34,42,920,2,31.76,23588,245,566,98,10,491
35,19,939,2,31.89,23533,261,566,101,11,526
36,24,963,2,17.71,23480,268,578,101,15,556
37,6,969,2,17.67,23433,268,583,105,12,597
38,10,979,2,17.68,23383,266,594,106,12,637
39,9,988,2,17.67,23334,248,622,106,12,676
40,42,1030,2,17.74,23263,264,638,117,11,705
41,28,1058,2,31.93,23196,282,652,111,12,745
42,28,1086,2,32.0,23128,305,662,107,12,784
43,10,1096,2,17.76,23077,300,673,109,11,828
44,19,1115,2,17.8,23016,310,679,112,13,868
45,15,1130,2,17.85,22963,293,701,121,12,908
46,22,1152,2,17.85,22900,287,738,117,10,946
47,30,1182,2,17.91,22835,290,755,123,13,982
48,35,1217,2,32.18,22762,319,754,129,13,1021
49,36,1253,2,32.31,22682,329,776,134,13,1064
50,-23,1230,3,14.38,22664,295,779,141,14,1104
51,-7,1223,3,12.0,22630,267,790,148,13,1149
52,0,1223,3,12.02,22596,233,819,155,13,1181
53,-16,1207,3,12.21,22560,193,847,153,14,1230
54,-19,1188,3,12.17,22534,162,852,155,19,1275
55,19,1207,4,32.83,22461,204,826,160,17,1328
56,12,1219,4,32.82,22401,235,799,165,17,1379
57,-43,1176,4,12.04,22376,228,757,171,19,1445
58,-41,1135,5,12.14,22357,209,739,167,19,1504
59,-34,1101,5,12.1,22336,184,740,159,18,1558
60,-43,1058,5,12.08,22324,127,746,165,17,1616
61,-40,1018,5,12.06,22307,103,739,162,12,1672
62,6,1024,5,32.52,22255,125,730,155,13,1717
63,-16,1008,5,32.59,22214,149,693,150,15,1774
64,-53,955,5,12.02,22203,135,659,149,12,1837
65,-53,902,5,11.96,22195,129,624,136,11,1900
