Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,56,176,0,17.13,24824,56,120,0,0,0
2,44,220,0,17.14,24780,100,120,0,0,0
3,25,245,0,17.16,24755,125,117,3,0,0
4,13,258,0,17.44,24742,138,114,6,0,0
5,12,270,0,17.48,24730,134,127,9,0,0
6,34,304,0,31.68,24695,122,168,14,0,1
7,38,342,0,31.97,24655,136,189,17,0,3
8,22,364,0,17.47,24626,134,213,16,1,10
9,19,383,0,17.56,24604,138,226,17,2,13
10,22,405,0,17.27,24580,150,231,22,2,15
11,19,424,0,17.4,24557,131,265,27,1,19
12,12,436,0,17.37,24535,119,280,35,2,29
13,19,455,0,31.33,24499,132,282,39,2,46
14,19,474,0,31.23,24468,137,293,41,3,58
15,5,479,0,17.46,24449,136,299,42,2,72
16,7,486,0,17.43,24424,130,298,55,3,90
17,9,495,0,17.72,24405,121,308,61,5,100
18,14,509,1,17.41,24385,114,321,68,5,106
19,15,524,1,17.57,24357,111,337,68,7,119
20,24,548,1,31.32,24315,135,340,67,6,136
21,17,565,1,31.5,24283,143,346,70,6,151
22,6,571,1,17.77,24259,144,349,70,8,169
23,9,580,1,17.59,24237,149,353,69,9,182
24,3,583,1,17.58,24214,139,368,67,9,202
25,8,591,1,17.58,24182,123,395,64,9,226
26,16,607,1,17.54,24142,139,402,59,7,250
27,29,636,1,31.74,24095,166,396,64,9,269
28,16,652,1,31.55,24059,177,411,61,3,288
29,10,662,1,17.71,24033,174,424,61,3,304
30,-5,657,1,17.87,24008,172,425,57,2,335
31,10,667,1,17.96,23971,162,438,63,3,362
32,21,688,1,17.68,23934,161,454,65,6,379
33,6,694,1,17.67,23907,153,463,72,6,398
34,12,706,1,31.65,23876,158,460,82,6,417
35,11,717,2,31.68,23841,163,460,83,10,441
36,7,724,2,18.01,23815,164,463,87,9,460
37,13,737,2,17.95,23779,165,462,100,10,482
38,5,742,2,17.69,23739,169,470,94,9,517
39,-3,739,2,17.76,23704,164,473,90,12,555
40,4,743,2,17.99,23665,176,467,88,11,591
41,11,754,2,32.44,23622,188,463,94,8,623
42,12,766,2,32.44,23583,197,464,97,8,649
43,0,766,2,17.8,23549,188,477,94,7,683
44,18,784,2,17.76,23508,190,491,98,5,706
45,17,801,2,17.81,23455,207,493,92,6,745
46,0,801,2,18.01,23413,204,489,100,4,788
47,16,817,2,18.07,23366,217,501,90,9,815
48,17,834,2,32.48,23310,236,486,98,9,859
49,20,854,2,32.59,23260,239,497,107,10,885
50,-20,834,2,14.24,23246,208,516,101,9,918
51,-1,833,2,11.85,23217,194,525,103,8,951
52,-21,812,2,11.86,23199,153,542,108,8,988
53,-12,800,3,11.88,23172,135,550,107,8,1025
54,-11,789,3,11.9,23155,112,553,116,8,1053
55,37,826,3,32.57,23090,156,543,117,9,1082
56,21,847,3,32.55,23040,181,540,116,8,1112
57,-24,823,3,11.9,23029,170,526,115,11,1146
58,-25,798,3,11.87,23020,155,518,108,16,1180
59,-41,757,3,11.85,23007,130,507,105,15,1233
60,-27,730,3,11.83,22998,98,518,101,13,1269
61,-22,708,3,11.87,22982,61,534,97,15,1308
62,11,719,3,32.63,22940,92,510,99,16,1340
63,-6,713,3,32.63,22912,108,493,96,14,1374
64,-22,691,3,11.86,22904,104,472,98,15,1404
65,-25,666,3,11.83,22894,105,452,95,14,1437
66,-32,634,3,11.8,22884,92,432,98,11,1480
67,-26,608,3,11.79,22875,57,446,92,12,1515
68,-31,577,3,11.77,22872,40,441,88,8,1548
69,-3,574,3,32.43,22843,62,418,87,7,1580
70,-18,556,3,32.41,22827,70,392,87,7,1614
71,-25,531,3,11.7,22818,69,368,89,5,1648
72,-30,501,3,11.47,22814,62,346,90,2,1683
73,-29,472,3,11.44,22809,59,324,81,3,1721
74,-32,440,3,11.39,22798,44,325,67,3,1760
75,-26,414,4,11.37,22787,42,302,61,4,1800
76,-6,408,4,31.51,22753,66,278,56,7,1836
77,-2,406,4,32.04,22730,83,259,59,5,1860
78,-19,387,4,11.46,22722,86,245,52,4,1887
79,-22,365,4,11.43,22717,84,224,51,4,1916
80,-31,334,4,11.4,22705,77,207,46,3,1958
81,-18,316,4,11.38,22689,57,214,41,3,1992
82,-19,297,4,11.37,22676,56,202,35,4,2023
83,15,312,4,31.9,22643,81,190,37,3,2042
84,-1,311,4,31.87,22616,101,173,35,1,2070
85,-9,302,4,11.34,22606,101,166,33,2,2088
86,-19,283,4,11.33,22602,92,150,39,2,2111
87,-13,270,4,11.32,22596,72,161,35,1,2131
88,0,270,4,11.31,22586,54,185,29,1,2141
89,-13,257,4,11.32,22570,49,180,26,0,2171
90,30,287,4,31.84,22523,85,178,23,1,2186
91,4,291,4,31.86,22503,99,171,20,1,2202
92,2,293,4,11.32,22488,105,167,18,1,2217
93,-16,277,4,11.31,22479,108,151,18,0,2240
94,-9,268,4,11.3,22467,90,163,14,0,2262
95,-13,255,4,11.29,22456,67,175,12,0,2286
96,-5,250,4,11.31,22444,61,177,11,0,2303
97,17,267,4,31.87,22412,78,177,12,0,2317
98,23,290,4,31.89,22377,105,170,15,0,2329
99,-4,286,4,11.33,22370,98,165,20,1,2342
100,-3,283,4,11.33,22363,94,168,19,1,2351
101,-7,276,4,11.33,22347,89,163,21,2,2374
102,-13,263,4,11.31,22337,64,170,26,2,2397
103,-2,261,4,11.32,22319,58,172,28,3,2416
104,21,282,4,31.88,22283,88,164,28,2,2431
105,12,294,4,31.9,22251,108,151,32,3,2451
106,0,294,4,11.34,22239,110,148,35,1,2463
107,-9,285,4,11.32,22231,105,147,32,1,2480
108,-4,281,4,11.32,22218,89,156,32,1,2500
109,-16,265,4,11.32,22206,75,165,25,0,2525
110,35,300,4,17.24,22147,109,164,24,0,2552
111,79,379,4,31.13,22054,192,162,25,0,2563
112,42,421,4,31.15,22004,224,172,23,1,2572
113,-3,418,4,17.28,21989,229,162,24,1,2591
114,-5,413,4,17.46,21973,226,159,24,1,2613
115,5,418,4,17.31,21954,182,204,28,1,2627
116,31,449,4,17.37,21909,152,267,27,1,2640
117,19,468,4,17.48,21868,139,296,31,1,2661
118,32,500,4,31.3,21822,166,301,30,1,2676
119,10,510,4,31.31,21791,183,293,32,1,2696
120,-2,508,4,17.41,21773,171,295,39,1,2717
121,3,511,4,17.46,21753,152,317,40,2,2732
