Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,58,178,0,16.89,24822,58,120,0,0,0
2,45,223,0,16.81,24777,103,118,2,0,0
3,40,263,0,16.87,24737,143,114,6,0,0
4,55,318,0,16.77,24682,198,114,6,0,0
5,41,359,0,16.9,24641,225,122,12,0,0
6,42,401,0,30.61,24599,223,162,16,0,0
7,58,459,0,30.69,24537,237,204,17,1,4
8,51,510,0,17.02,24481,248,237,24,1,9
9,78,588,0,17.04,24400,279,272,36,1,12
10,71,659,0,16.92,24321,310,306,42,1,20
11,82,741,0,17.12,24230,357,335,48,1,29
12,106,847,0,17.07,24118,413,374,56,3,36
13,55,902,0,30.69,24050,415,427,57,3,48
14,70,972,0,30.77,23957,439,468,56,7,73
15,109,1081,0,17.3,23831,482,534,59,6,88
16,134,1215,0,17.56,23682,533,605,71,6,103
17,161,1376,0,17.61,23511,611,672,85,8,113
18,164,1540,0,17.75,23331,701,732,96,11,129
19,176,1716,0,17.87,23141,788,800,115,11,145
20,110,1826,0,31.99,23000,805,884,125,11,175
21,162,1988,0,32.21,22819,834,1003,138,12,194
22,243,2231,0,18.24,22552,934,1123,157,16,218
23,229,2460,0,18.45,22295,1004,1261,177,18,245
24,254,2714,1,18.65,22007,1116,1383,194,18,281
25,262,2976,1,19.11,21702,1279,1469,208,18,323
26,305,3281,1,19.4,21359,1406,1625,233,16,360
27,257,3538,1,34.05,21051,1464,1808,247,18,411
28,247,3785,1,34.57,20758,1495,2011,260,19,456
29,388,4173,1,20.43,20317,1640,2220,288,23,511
30,381,4554,1,20.98,19874,1765,2448,314,26,572
31,393,4947,2,21.53,19421,1901,2674,335,37,630
32,391,5338,3,21.95,18953,2044,2882,372,37,709
33,425,5763,5,22.62,18439,2215,3099,406,39,797
34,429,6192,6,38.06,17934,2312,3391,443,43,871
35,399,6591,6,39.01,17434,2378,3647,516,46,973
36,521,7112,7,24.94,16799,2574,3922,568,45,1085
37,538,7650,7,25.86,16150,2722,4243,625,54,1199
38,528,8178,7,27.06,15480,2891,4541,686,54,1341
39,471,8649,9,27.95,14841,3019,4818,745,62,1506
40,498,9147,9,29.11,14168,3158,5121,792,73,1679
41,432,9579,10,45.89,13544,3193,5438,863,81,1871
42,414,9993,11,47.24,12917,3145,5829,927,84,2087
43,461,10454,12,32.76,12238,3155,6218,986,90,2301
44,416,10870,13,34.05,11574,3149,6564,1054,99,2547
45,453,11323,13,35.61,10870,3205,6895,1116,97,2804
46,315,11638,13,37.05,10245,3199,7133,1189,109,3112
47,331,11969,13,38.34,9629,3194,7392,1255,119,3398
48,305,12274,15,56.28,9005,3148,7660,1329,128,3715
49,287,12561,15,57.51,8366,3115,7909,1391,135,4069
50,163,12724,15,41.83,7810,2991,8149,1437,132,4466
51,127,12851,16,42.7,7255,2933,8303,1469,137,4887
52,74,12925,16,43.68,6724,2842,8417,1514,139,5348
53,26,12951,17,44.38,6234,2704,8541,1545,147,5812
54,-91,12860,17,44.87,5809,2533,8593,1575,145,6328
55,-32,12828,18,62.23,5324,2447,8606,1612,146,6847
56,-69,12759,18,62.75,4885,2307,8618,1659,158,7355
57,-205,12554,19,45.85,4543,2121,8584,1674,166,7893
58,-273,12281,20,45.79,4257,1966,8434,1697,171,8455
59,-289,11992,20,45.36,3963,1795,8312,1693,174,9043
60,-342,11650,21,45.03,3693,1594,8149,1693,192,9658
61,-326,11324,23,44.4,3431,1438,8014,1673,188,10233
62,-390,10934,24,60.35,3180,1339,7751,1648,181,10877
63,-444,10490,25,59.39,2970,1266,7392,1632,178,11537
64,-489,10001,25,41.42,2789,1141,7081,1603,165,12196
65,-463,9538,25,40.2,2648,1019,6769,1558,170,12811
66,-548,8990,27,38.86,2516,884,6455,1490,144,13484
67,-512,8478,28,37.48,2391,759,6141,1431,129,14121
68,-517,7961,29,36.13,2267,675,5793,1339,128,14769
69,-541,7420,30,50.55,2153,624,5381,1280,125,15407
70,-463,6957,30,49.07,2046,600,5018,1206,115,15985
71,-545,6412,30,31.92,1972,541,4652,1083,115,16607
72,-471,5941,30,30.53,1896,483,4316,1019,107,17149
73,-455,5486,30,29.29,1835,419,3991,955,102,17668
74,-481,5005,31,27.93,1778,368,3656,872,98,18197
75,-416,4589,32,26.78,1727,331,3333,820,92,18665
76,-426,4163,32,40.5,1680,290,3022,761,77,19138
77,-388,3775,32,39.37,1644,252,2733,710,64,19565
78,-364,3411,32,23.63,1604,232,2485,624,57,19966
79,-336,3075,33,22.73,1580,190,2263,555,52,20327
80,-348,2727,34,21.99,1561,156,2014,493,48,20694
81,-299,2428,35,21.29,1540,136,1803,437,44,21005
82,-293,2135,35,20.61,1523,115,1570,399,41,21317
83,-199,1936,35,34.19,1495,111,1439,341,42,21537
84,-220,1716,35,33.67,1476,106,1282,287,37,21777
85,-216,1500,35,19.16,1467,95,1114,255,30,22004
