Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,67,187,0,17.62,24813,67,120,0,0,0
2,61,248,0,17.69,24752,128,118,2,0,0
3,23,271,0,17.78,24729,151,115,5,0,0
4,10,281,0,17.82,24719,161,112,8,0,0
5,13,294,0,17.76,24706,160,120,14,0,0
6,27,321,0,32.85,24678,132,171,18,0,1
7,34,355,0,32.93,24639,125,206,24,0,6
8,23,378,0,17.88,24609,124,226,28,0,13
9,17,395,0,17.81,24590,128,232,34,1,15
10,15,410,0,17.9,24572,128,242,37,3,18
11,16,426,0,17.85,24550,118,262,44,2,24
12,12,438,0,17.98,24522,121,272,42,3,40
13,24,462,0,33.15,24484,123,289,45,5,54
14,14,476,0,33.19,24460,129,297,44,6,64
15,13,489,0,18.01,24433,135,301,48,5,78
16,-10,479,0,18.04,24421,120,301,52,6,100
17,18,497,0,17.94,24389,125,316,52,4,114
18,11,508,0,18.06,24364,117,330,58,3,128
19,26,534,0,17.97,24323,133,336,63,2,143
20,14,548,0,33.05,24295,144,331,72,1,157
21,18,566,0,33.14,24263,152,332,80,2,171
22,9,575,1,18.1,24242,147,341,85,2,182
23,10,585,1,18.07,24212,149,348,83,5,202
24,-11,574,1,18.04,24198,126,367,75,4,229
25,17,591,1,18.07,24165,124,377,83,6,244
26,21,612,1,18.19,24129,135,382,84,10,259
27,27,639,1,33.47,24082,161,378,91,9,278
28,11,650,1,33.55,24047,170,384,88,8,302
29,5,655,1,18.25,24025,167,397,79,11,320
30,-2,653,1,18.22,24000,161,405,78,9,346
31,7,660,1,18.18,23968,152,421,78,9,371
32,0,660,1,18.24,23936,140,437,76,7,403
33,19,679,1,18.25,23891,155,441,72,7,433
34,14,693,1,33.52,23851,174,434,78,7,455
35,11,704,1,33.58,23806,188,441,70,5,489
36,28,732,1,18.21,23764,199,451,78,4,503
37,13,745,1,18.33,23733,194,461,87,3,521
38,6,751,1,18.27,23697,184,477,83,7,551
39,17,768,1,18.35,23646,205,480,77,6,585
40,20,788,1,18.24,23597,205,498,79,6,614
41,41,829,1,33.47,23532,229,507,83,10,638
42,15,844,1,33.51,23486,248,501,84,10,670
43,15,859,1,18.37,23446,245,518,86,10,694
44,15,874,1,18.29,23401,241,533,91,9,724
45,15,889,1,18.4,23354,238,551,94,4,758
46,25,914,1,18.45,23294,240,573,97,4,791
47,27,941,2,18.49,23240,249,587,98,7,817
48,35,976,2,33.83,23176,265,612,90,8,847
49,16,992,2,33.95,23119,274,614,93,10,888
50,-2,990,2,18.53,23078,275,608,95,10,932
51,19,1009,2,18.54,23035,268,627,100,12,956
52,39,1048,2,18.49,22977,258,661,115,11,976
53,15,1063,3,18.61,22923,246,687,119,10,1012
54,10,1073,3,18.62,22863,254,688,121,9,1062
55,26,1099,3,33.49,22803,275,683,132,8,1096
56,43,1142,3,33.51,22727,303,696,132,11,1128
57,14,1156,3,18.47,22674,298,712,133,11,1169
58,29,1185,3,18.51,22606,313,731,131,9,1207
59,25,1210,3,18.53,22540,322,735,143,9,1248
60,6,1216,3,18.59,22491,302,755,145,11,1293
61,-4,1212,3,18.62,22446,284,763,158,6,1340
62,38,1250,3,33.77,22370,299,781,162,7,1378
63,40,1290,3,33.77,22287,317,799,163,11,1420
64,19,1309,5,18.66,22220,321,807,166,13,1468
65,22,1331,5,18.74,22157,336,807,174,14,1507
66,-15,1316,5,18.66,22107,328,812,164,12,1572
67,6,1322,6,18.72,22042,314,833,159,14,1632
68,13,1335,6,18.69,21970,310,849,160,14,1691
69,39,1374,6,33.87,21877,343,851,163,16,1744
70,27,1401,6,33.9,21797,360,862,164,15,1796
71,4,1405,6,18.81,21745,358,858,175,12,1846
72,5,1410,6,18.82,21680,346,881,170,11,1906
73,-5,1405,6,19.0,21620,325,908,161,10,1970
74,36,1441,6,19.0,21533,338,922,168,11,2022
75,29,1470,6,19.0,21454,346,933,178,13,2070
76,35,1505,6,34.43,21359,376,940,176,11,2132
77,16,1521,6,34.43,21281,409,925,174,12,2193
78,6,1527,6,19.0,21216,389,960,166,11,2252
79,13,1540,6,19.05,21160,372,982,175,10,2295
80,25,1565,6,18.96,21079,360,1002,190,13,2350
81,17,1582,6,19.01,20994,362,1016,190,13,2419
82,7,1589,6,18.97,20921,351,1035,186,16,2485
83,26,1615,7,34.19,20823,391,1029,181,14,2555
84,57,1672,7,34.26,20723,434,1028,195,12,2601
85,7,1679,7,18.99,20642,421,1048,192,17,2673
86,-1,1678,7,19.17,20582,406,1053,197,17,2738
87,1,1679,7,19.11,20510,398,1055,207,18,2805
88,-17,1662,7,19.27,20443,364,1081,201,14,2890
89,18,1680,7,19.33,20358,364,1087,213,13,2958
90,42,1722,7,34.71,20253,389,1101,219,13,3018
91,75,1797,7,34.89,20145,432,1100,244,19,3053
92,-41,1756,7,19.21,20100,411,1095,228,19,3140
93,33,1789,7,19.31,20005,428,1099,235,22,3204
94,-14,1775,7,19.23,19932,416,1107,227,19,3292
95,-27,1748,7,19.31,19858,379,1124,224,17,3391
96,-5,1743,7,19.33,19782,371,1140,214,18,3468
97,24,1767,9,34.64,19689,407,1127,210,19,3539
98,35,1802,9,34.69,19577,436,1138,206,21,3613
99,-4,1798,9,19.3,19513,412,1159,205,20,3682
100,5,1803,10,19.34,19432,420,1160,200,23,3755
101,-8,1795,10,19.41,19355,413,1159,200,21,3842
102,1,1796,10,19.46,19282,388,1171,210,23,3916
103,-12,1784,10,19.27,19200,384,1161,216,23,4006
104,42,1826,11,34.99,19094,424,1135,238,26,4072
105,34,1860,11,34.59,18993,433,1153,247,24,4139
106,-9,1851,11,19.51,18921,435,1146,244,23,4220
107,13,1864,11,19.33,18829,442,1151,241,28,4298
108,18,1882,11,19.43,18739,444,1151,252,29,4374
109,-15,1867,11,19.5,18668,424,1166,250,26,4455
110,-5,1862,13,19.6,18595,408,1181,243,27,4533
111,-13,1849,13,35.11,18502,409,1185,226,28,4637
112,40,1889,13,34.9,18389,433,1197,227,30,4711
113,23,1912,13,19.68,18302,439,1221,216,34,4775
114,10,1922,13,19.48,18213,452,1214,219,35,4854
115,-25,1897,13,19.61,18137,443,1205,220,27,4955
116,-8,1889,13,19.58,18057,428,1213,223,25,5041
117,1,1890,13,19.43,17966,413,1212,241,24,5131
118,40,1930,13,34.6,17852,453,1210,237,27,5208
119,3,1933,13,34.72,17760,454,1203,251,24,5295
120,-5,1928,13,19.68,17684,434,1231,239,24,5375
121,5,1933,13,19.82,17611,433,1239,232,27,5445
122,12,1945,13,19.52,17529,415,1268,235,24,5516
123,-12,1933,13,19.72,17441,394,1272,244,21,5615
124,3,1936,13,19.59,17350,402,1265,248,19,5703
125,43,1979,13,34.95,17225,456,1257,243,20,5786
126,24,2003,14,35.19,17115,493,1243,246,18,5871
127,-23,1980,14,19.77,17053,476,1238,237,25,5957
128,2,1982,14,19.71,16969,468,1238,248,25,6038
129,-7,1975,14,19.77,16892,438,1264,247,23,6122
130,-18,1957,15,19.76,16816,396,1290,243,27,6213
131,-24,1933,15,19.73,16741,382,1272,251,26,6313
132,8,1941,15,35.12,16642,406,1254,260,20,6403
133,15,1956,16,35.21,16546,416,1254,262,23,6483
134,-22,1934,17,19.72,16483,403,1247,255,29,6566
135,-30,1904,18,19.75,16414,406,1223,250,22,6667
136,-7,1897,18,19.72,16338,390,1222,262,20,6750
137,-18,1879,18,19.67,16263,369,1234,250,22,6844
138,-7,1872,18,19.81,16190,359,1239,245,28,6921
139,18,1890,19,35.2,16086,392,1222,252,23,7006
140,4,1894,19,35.37,16014,399,1221,249,24,7074
141,-31,1863,19,19.64,15954,394,1211,238,19,7165
142,-34,1829,19,19.65,15892,379,1193,233,22,7262
143,-20,1809,19,19.59,15812,377,1176,234,20,7362
144,-25,1784,19,19.6,15745,353,1178,231,19,7455
145,-23,1761,20,19.59,15676,340,1164,238,14,7548
146,-12,1749,20,35.1,15593,354,1129,247,15,7642
147,1,1750,20,35.09,15506,369,1113,253,13,7726
148,-15,1735,20,19.56,15438,367,1101,247,18,7809
149,-8,1727,20,19.53,15379,367,1084,250,25,7875
150,-16,1711,20,19.55,15319,346,1099,240,25,7951
151,-16,1695,20,19.43,15263,312,1135,226,21,8023
152,-28,1667,20,19.51,15203,303,1116,219,25,8114
153,-17,1650,20,34.96,15117,325,1079,225,18,8216
154,-2,1648,20,34.64,15038,332,1066,224,24,8296
155,-23,1625,20,19.35,14985,330,1043,226,22,8374
156,-16,1609,20,19.29,14923,333,1038,219,17,8450
157,-17,1592,20,19.42,14865,323,1041,211,17,8523
158,-22,1570,20,19.27,14807,308,1022,208,29,8606
159,-21,1549,20,19.23,14748,291,1016,208,31,8686
