Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,47,167,0,17.03,24833,47,120,0,0,0
2,49,216,0,17.28,24784,96,120,0,0,0
3,36,252,0,17.28,24748,132,115,5,0,0
4,41,293,0,17.21,24707,173,108,12,0,0
5,17,310,0,17.27,24690,180,115,15,0,0
6,37,347,0,31.55,24653,174,153,20,0,0
7,41,388,0,31.71,24609,178,184,25,1,3
8,39,427,0,17.3,24565,179,221,25,2,8
9,44,471,0,17.01,24515,192,244,32,3,14
10,49,520,0,17.15,24462,220,260,35,5,18
11,37,557,0,17.26,24416,229,284,38,5,28
12,44,601,0,17.26,24364,239,314,41,5,37
13,44,645,0,31.06,24303,259,338,41,6,53
14,38,683,0,30.98,24246,264,367,46,6,71
15,50,733,0,17.32,24182,283,387,58,5,85
16,68,801,0,17.4,24102,310,425,63,3,97
17,76,877,0,17.69,24015,339,461,74,3,108
18,65,942,0,17.48,23933,368,488,80,6,125
19,85,1027,0,17.77,23839,395,529,95,8,134
20,68,1095,0,32.3,23751,423,565,99,7,155
21,90,1185,1,32.34,23643,445,621,111,8,171
22,80,1265,1,17.72,23544,469,674,111,10,191
23,109,1374,1,17.97,23412,516,730,115,13,213
24,122,1496,1,17.96,23265,562,799,121,13,239
25,108,1604,1,18.24,23127,610,859,125,10,268
26,114,1718,1,18.17,22982,644,927,134,12,300
27,107,1825,1,32.35,22846,670,991,150,12,330
28,122,1947,1,32.55,22693,695,1069,169,13,360
29,129,2076,1,18.76,22532,727,1151,182,15,392
30,143,2219,1,18.65,22347,765,1245,194,14,434
31,164,2383,2,18.85,22139,813,1337,218,14,477
32,193,2576,2,18.93,21897,928,1402,228,18,525
33,185,2761,4,19.42,21649,1016,1493,229,22,587
34,173,2934,5,34.61,21435,1071,1590,250,21,628
35,155,3089,5,34.87,21221,1088,1713,260,26,687
36,216,3305,5,20.03,20939,1179,1830,273,22,752
37,232,3537,5,20.12,20642,1233,1985,287,29,819
38,245,3782,6,20.7,20311,1312,2146,292,30,903
39,210,3992,7,20.74,20013,1393,2241,327,28,991
40,247,4239,7,21.34,19687,1476,2365,368,30,1067
41,265,4504,7,37.01,19335,1555,2520,396,30,1157
42,263,4767,7,37.44,18987,1614,2684,436,31,1241
43,272,5039,8,22.23,18598,1678,2892,431,34,1359
44,293,5332,8,22.73,18200,1762,3073,459,36,1462
45,301,5633,8,23.42,17795,1846,3237,508,37,1569
46,280,5913,8,23.69,17380,1901,3417,551,39,1704
47,270,6183,8,24.46,16958,1983,3580,578,39,1854
48,342,6525,8,40.74,16490,2068,3774,625,55,1980
49,251,6776,8,41.44,16078,2098,3934,673,65,2144
50,279,7055,9,26.25,15648,2106,4162,722,62,2291
51,246,7301,10,26.9,15209,2118,4367,741,72,2483
52,279,7580,10,27.55,14753,2136,4566,788,79,2668
53,260,7840,11,28.2,14289,2156,4779,815,85,2865
54,272,8112,11,28.85,13806,2224,4937,859,84,3079
55,286,8398,12,45.97,13292,2305,5118,873,100,3300
56,269,8667,12,46.71,12780,2373,5271,923,95,3546
57,177,8844,13,30.61,12313,2397,5386,954,100,3837
58,213,9057,13,31.24,11839,2395,5541,1008,106,4098
59,193,9250,15,31.92,11383,2366,5695,1075,104,4362
60,172,9422,15,32.69,10916,2341,5819,1144,112,4653
61,92,9514,16,33.03,10485,2252,5979,1149,120,4999
62,119,9633,16,49.91,10017,2262,6071,1177,114,5343
63,137,9770,18,50.66,9513,2304,6173,1176,111,5705
64,3,9773,19,34.74,9145,2205,6269,1175,112,6075
65,-5,9768,20,35.14,8776,2110,6348,1193,112,6441
66,12,9780,20,35.34,8381,2044,6420,1191,117,6827
67,-54,9726,21,35.5,8007,1942,6469,1181,123,7257
68,-58,9668,21,35.55,7650,1843,6501,1186,128,7671
69,16,9684,22,52.25,7235,1882,6472,1191,132,8066
70,-19,9665,22,52.44,6864,1884,6420,1219,125,8466
71,-109,9556,22,36.58,6581,1794,6359,1264,126,8854
72,-176,9380,23,35.88,6328,1668,6303,1255,137,9286
73,-249,9131,25,35.89,6086,1526,6228,1234,130,9771
74,-197,8934,26,35.46,5816,1382,6196,1202,134,10244
75,-282,8652,26,35.02,5600,1265,6056,1180,140,10733
76,-172,8480,28,50.94,5323,1252,5897,1173,140,11187
77,-236,8244,31,53.09,5091,1224,5703,1167,139,11645
78,-271,7973,33,35.58,4898,1171,5500,1155,130,12113
79,-284,7689,36,35.23,4724,1081,5341,1122,136,12560
80,-335,7354,38,33.97,4573,987,5114,1116,122,13050
81,-366,6988,39,32.35,4435,873,4897,1092,116,13548
82,-310,6678,39,31.38,4288,803,4696,1041,122,14011
83,-283,6395,40,48.21,4137,767,4484,1013,122,14437
84,-263,6132,41,47.39,3980,726,4315,967,115,14856
85,-346,5786,42,30.46,3892,677,4074,912,107,15296
86,-272,5514,42,29.44,3785,634,3878,897,94,15670
87,-325,5189,44,28.72,3697,574,3662,849,96,16078
88,-328,4861,44,26.31,3623,491,3459,814,87,16482
89,-325,4536,45,25.95,3549,436,3267,756,72,16875
90,-321,4215,45,43.06,3452,446,2989,705,66,17297
