Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,60,180,0,17.43,24820,60,120,0,0,0
2,43,223,0,17.49,24777,103,120,0,0,0
3,22,245,0,17.59,24755,125,113,7,0,0
4,11,256,0,17.63,24744,136,109,11,0,0
5,17,273,0,17.54,24727,133,125,14,1,0
6,36,309,0,32.02,24691,129,160,18,2,0
7,35,344,0,31.32,24653,127,198,17,2,3
8,25,369,0,17.35,24619,139,205,22,2,13
9,20,389,0,17.59,24596,146,216,25,2,15
10,16,405,0,17.37,24573,148,226,29,2,22
11,27,432,0,17.6,24543,144,254,33,1,25
12,28,460,0,17.6,24503,141,283,32,3,38
13,21,481,0,32.04,24471,147,296,35,2,49
14,33,514,0,32.08,24420,174,301,37,2,66
15,12,526,0,17.53,24391,178,306,40,1,84
16,18,544,0,17.56,24361,179,319,44,2,95
17,28,572,0,17.72,24330,175,341,51,5,98
18,36,608,0,17.58,24286,171,374,56,7,106
19,37,645,1,17.62,24234,192,394,54,5,120
20,35,680,1,31.69,24186,207,405,62,5,134
21,45,725,1,31.75,24129,231,420,64,9,146
22,38,763,1,17.68,24079,244,435,75,9,157
23,22,785,1,17.73,24037,244,450,82,9,177
24,24,809,1,18.03,23986,250,466,82,9,206
25,34,843,1,17.95,23935,249,494,93,7,221
26,50,893,1,17.77,23870,263,522,100,7,237
27,30,923,1,31.94,23819,265,544,102,11,258
28,45,968,1,32.04,23754,283,562,108,14,278
29,38,1006,1,18.09,23689,303,582,108,13,304
30,27,1033,1,17.95,23630,305,606,109,13,336
31,38,1071,1,17.98,23557,311,629,119,10,373
32,35,1106,1,18.04,23489,317,660,119,10,404
33,48,1154,1,18.1,23415,330,687,125,9,433
34,56,1210,1,32.31,23323,361,702,137,8,468
35,45,1255,1,32.36,23243,384,727,135,7,503
36,37,1292,1,18.21,23165,396,752,136,7,543
37,64,1356,1,18.24,23068,410,790,147,9,575
38,56,1412,1,18.3,22977,422,826,150,12,612
39,44,1456,1,18.33,22887,427,860,154,13,658
40,38,1494,1,18.4,22797,438,880,160,16,708
41,61,1555,1,32.75,22690,466,898,173,17,755
42,72,1627,1,32.79,22570,488,937,182,17,805
43,28,1655,1,18.58,22486,498,959,176,20,860
44,64,1719,2,18.6,22361,525,1008,167,18,919
45,48,1767,2,18.58,22258,534,1039,175,18,974
46,63,1830,3,18.89,22145,532,1094,178,23,1025
47,68,1898,3,18.96,22021,543,1148,185,21,1079
48,79,1977,4,33.96,21889,574,1181,202,17,1133
49,72,2049,4,34.0,21743,604,1227,200,18,1204
50,69,2118,4,19.19,21619,624,1260,217,16,1260
51,78,2196,4,19.26,21477,657,1291,230,16,1325
52,72,2268,4,19.44,21340,673,1320,256,18,1389
53,83,2351,4,19.25,21198,667,1390,271,20,1450
54,66,2417,5,19.61,21057,676,1435,277,24,1526
55,105,2522,5,34.68,20876,728,1475,292,24,1600
56,94,2616,6,34.87,20718,759,1538,292,25,1662
57,56,2672,6,19.71,20574,763,1577,305,25,1750
58,62,2734,6,19.78,20417,783,1623,295,29,1847
59,92,2826,8,19.91,20247,787,1704,300,33,1921
60,70,2896,8,19.98,20066,794,1777,289,31,2035
61,64,2960,8,20.41,19904,802,1822,302,33,2129
62,99,3059,8,35.62,19707,845,1872,303,34,2231
63,107,3166,9,35.85,19507,894,1918,318,34,2320
64,51,3217,9,20.52,19350,877,1992,319,28,2425
65,73,3290,9,20.71,19181,877,2046,338,25,2524
66,95,3385,9,20.99,18980,904,2099,348,32,2628
67,134,3519,9,21.15,18749,937,2181,368,31,2725
68,82,3601,9,21.02,18544,957,2232,375,32,2851
69,105,3706,9,36.08,18301,1044,2235,393,31,2987
70,143,3849,10,36.32,18060,1093,2312,401,41,3083
71,44,3893,10,21.52,17899,1050,2372,431,37,3201
72,93,3986,10,21.6,17670,1075,2445,428,37,3335
73,72,4058,10,21.94,17446,1074,2489,455,36,3490
74,97,4155,10,22.15,17217,1074,2566,473,39,3621
75,77,4232,10,22.35,17001,1050,2647,492,39,3761
76,83,4315,11,38.1,16751,1111,2655,500,45,3927
77,85,4400,11,38.25,16516,1129,2713,507,48,4076
78,16,4416,12,22.78,16328,1100,2747,519,46,4248
79,56,4472,12,22.91,16114,1086,2804,525,55,4404
80,66,4538,13,22.82,15904,1082,2864,525,62,4550
81,27,4565,14,23.17,15703,1024,2955,524,56,4724
82,90,4655,14,22.98,15445,1058,3008,517,70,4888
83,116,4771,14,38.42,15169,1138,3004,554,63,5058
84,84,4855,15,38.61,14894,1200,3038,557,52,5244
85,12,4867,15,23.34,14712,1181,3059,571,53,5409
86,24,4891,15,23.41,14491,1178,3082,569,55,5610
87,-23,4868,16,23.69,14296,1107,3101,590,61,5829
88,18,4886,17,23.6,14072,1055,3184,587,55,6030
89,29,4915,17,23.65,13849,1042,3197,607,62,6226
90,87,5002,17,39.19,13581,1107,3195,626,65,6409
91,63,5065,18,39.36,13329,1134,3245,620,65,6589
92,-20,5045,20,24.0,13125,1160,3206,605,68,6816
93,-40,5005,20,24.03,12938,1136,3217,578,70,7041
94,-60,4945,21,23.96,12752,1080,3203,582,70,7292
95,-24,4921,21,23.91,12566,997,3257,593,68,7498
96,-18,4903,21,24.23,12378,952,3281,602,62,7704
97,17,4920,22,40.15,12141,982,3288,578,66,7923
98,31,4951,22,40.18,11877,1035,3283,570,58,8155
99,-32,4919,24,24.31,11717,1036,3227,596,55,8345
100,-66,4853,24,24.01,11568,993,3177,621,53,8564
101,-65,4788,26,24.14,11397,928,3164,644,48,8793
102,-94,4694,28,23.79,11238,873,3148,614,55,9044
103,-72,4622,28,23.93,11076,791,3160,599,62,9284
104,-1,4621,29,39.72,10853,864,3086,597,65,9506
105,-10,4611,30,39.67,10670,888,3045,607,66,9694
106,-63,4548,30,23.52,10529,876,2982,620,66,9897
107,-47,4501,30,23.72,10364,868,2938,624,63,10113
108,-100,4401,33,23.33,10213,833,2889,615,56,10361
109,-131,4270,34,23.41,10093,731,2887,591,54,10610
110,-106,4164,34,23.02,9956,711,2812,579,54,10854
111,-27,4137,34,38.06,9780,743,2745,577,67,11054
112,-30,4107,34,37.94,9609,754,2717,560,72,11254
113,-76,4031,34,22.67,9499,709,2671,577,70,11440
114,-63,3968,34,22.59,9353,725,2611,552,70,11655
115,-132,3836,35,22.69,9263,670,2553,549,62,11868
116,-127,3709,35,22.49,9174,583,2521,538,61,12088
117,-85,3624,35,22.32,9037,574,2465,528,52,12309
118,-61,3563,35,37.69,8880,605,2392,504,56,12528
119,-57,3506,36,37.53,8741,612,2321,520,50,12720
120,-118,3388,36,21.66,8652,610,2215,505,53,12929
121,-109,3279,36,21.8,8567,586,2145,494,52,13120
122,-91,3188,37,21.61,8484,536,2118,482,48,13295
123,-125,3063,37,21.2,8405,458,2095,463,45,13497
124,-87,2976,39,21.11,8315,425,2049,454,42,13676
125,-71,2905,39,35.69,8196,459,1973,423,44,13866
126,-82,2823,40,35.57,8089,484,1898,398,38,14053
127,-112,2711,40,20.66,8028,449,1835,390,33,14225
128,-114,2597,40,20.64,7970,429,1759,375,27,14400
129,-105,2492,40,20.58,7900,399,1698,370,21,14572
130,-82,2410,40,20.36,7832,341,1675,362,29,14721
131,-97,2313,40,20.31,7780,304,1621,356,28,14871
132,-44,2269,41,35.21,7700,320,1580,340,29,14990
133,-47,2222,41,35.12,7628,339,1507,347,27,15111
134,-89,2133,42,20.0,7583,319,1441,337,34,15244
135,-96,2037,42,19.66,7538,297,1389,315,29,15390
136,-74,1963,42,19.53,7476,298,1342,282,33,15527
137,-98,1865,42,19.4,7424,276,1285,268,30,15675
138,-102,1763,42,19.48,7381,249,1220,264,28,15816
139,-34,1729,43,34.19,7301,285,1166,247,27,15931
140,-51,1678,43,34.1,7245,283,1125,240,25,16039
141,-96,1582,43,19.21,7215,253,1079,231,17,16162
142,-73,1509,43,19.09,7185,241,1029,218,19,16265
143,-59,1450,44,18.81,7153,215,999,212,22,16355
144,-63,1387,44,18.98,7110,185,971,204,24,16462
145,-56,1331,44,18.71,7079,168,944,193,24,16548
146,-38,1293,44,32.93,7028,180,910,183,18,16637
147,-53,1240,44,32.76,6997,184,853,185,15,16722
148,-52,1188,44,18.69,6968,182,814,180,10,16802
149,-51,1137,44,18.65,6940,172,781,173,8,16882
150,-55,1082,44,18.59,6922,151,751,167,12,16953
151,-45,1037,44,18.36,6900,124,742,160,11,17019
152,-66,971,44,18.46,6882,117,688,153,9,17107
153,-49,922,44,32.88,6846,119,641,146,13,17191
154,-45,877,44,32.89,6815,125,608,130,13,17265
155,-54,823,44,18.08,6799,122,565,125,9,17336
156,-40,783,45,18.24,6783,116,526,127,11,17392
157,-41,742,45,17.99,6775,98,520,111,12,17439
158,-48,694,45,18.13,6759,87,483,109,11,17506
159,-37,657,45,17.96,6745,73,474,98,11,17554
160,-27,630,47,31.81,6728,71,459,92,8,17595
161,-18,612,47,31.78,6709,74,442,84,11,17633
162,-17,595,47,17.77,6696,77,429,78,10,17663
163,-42,553,47,17.95,6685,76,389,76,10,17717
164,-31,522,47,17.74,6673,68,376,69,9,17758
165,-27,495,47,17.65,6660,66,353,69,7,17798
166,-27,468,47,17.84,6648,64,324,71,6,17840
167,-1,467,47,32.15,6626,72,325,64,4,17862
168,-13,454,47,32.11,6608,78,305,63,8,17891
169,-22,432,47,17.66,6602,66,301,61,4,17919
170,-22,410,47,17.64,6596,66,278,58,6,17949
171,-18,392,47,17.57,6586,62,270,55,5,17975
172,-17,375,47,17.71,6576,51,269,51,4,18002
173,-25,350,47,17.77,6566,43,260,43,4,18037
174,-16,334,47,32.25,6556,46,247,36,5,18063
175,-6,328,47,32.22,6546,49,239,35,4,18080
176,-19,309,47,17.81,6541,46,227,32,4,18103
177,-4,305,47,17.57,6525,49,220,31,5,18123
178,-8,297,47,17.6,6518,47,216,29,5,18138
179,-19,278,47,17.55,6513,41,204,29,4,18162
180,-14,264,47,17.54,6508,41,187,34,2,18181
181,-20,244,47,31.26,6505,35,173,33,2,18205
182,-7,237,47,31.15,6499,26,175,35,1,18217
183,-11,226,47,17.67,6494,26,159,35,3,18236
184,-8,218,47,17.66,6492,20,160,32,4,18245
185,-11,207,47,17.38,6483,24,149,29,4,18264
186,-13,194,47,17.43,6479,24,142,26,2,18280
187,-14,180,47,17.41,6473,25,129,25,1,18300
188,-6,174,47,31.07,6467,28,120,24,2,18312
189,-8,166,47,31.11,6464,29,111,23,2,18324
190,-2,164,47,17.37,6456,26,114,22,1,18334
