Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,50,170,0,17.49,24830,50,120,0,0,0
2,41,211,0,17.51,24789,91,118,2,0,0
3,10,221,0,17.62,24779,101,115,5,0,0
4,19,240,0,17.63,24760,120,110,9,1,0
5,12,252,0,17.59,24748,120,120,11,1,0
6,34,286,0,32.26,24714,113,157,14,1,1
7,24,310,0,32.44,24684,111,184,14,1,6
8,19,329,0,17.72,24661,121,187,19,2,10
9,23,352,0,17.72,24637,126,197,27,2,11
10,12,364,0,17.67,24619,127,204,31,1,18
11,20,384,0,17.68,24596,116,235,31,2,20
12,24,408,0,17.8,24558,124,252,29,3,34
13,27,435,0,32.71,24517,141,258,34,2,48
14,22,457,0,32.65,24483,154,256,40,5,62
15,13,470,0,17.75,24453,162,262,42,4,77
16,16,486,0,17.76,24426,163,273,46,4,88
17,22,508,0,17.85,24395,160,293,52,3,97
18,22,530,0,17.86,24361,154,319,54,3,109
19,21,551,0,17.89,24331,150,337,58,6,118
20,34,585,0,32.87,24284,174,342,64,5,131
21,31,616,0,32.94,24243,178,369,64,5,141
22,16,632,0,17.9,24214,180,383,63,6,154
23,14,646,0,18.15,24182,182,397,60,6,173
24,15,661,0,17.99,24149,176,414,60,10,191
25,20,681,0,18.03,24113,168,439,68,6,206
26,19,700,0,18.12,24073,167,458,68,6,228
27,36,736,0,33.01,24022,193,463,71,8,243
28,23,759,0,32.38,23980,204,464,83,7,262
29,4,763,0,17.68,23953,197,472,86,8,284
30,6,769,0,17.63,23919,188,477,94,9,313
31,3,772,0,17.65,23883,182,486,96,7,346
32,20,792,0,17.8,23835,191,500,94,6,374
33,17,809,0,17.71,23792,190,512,99,7,400
34,15,824,0,32.39,23741,207,511,95,9,437
35,17,841,1,32.99,23699,219,520,94,7,460
36,-2,839,1,18.29,23670,210,526,93,8,492
37,8,847,1,18.29,23632,203,535,101,7,521
38,5,852,1,18.22,23584,203,544,95,8,565
39,14,866,1,18.26,23530,208,546,102,9,604
40,6,872,1,18.3,23492,208,554,99,10,636
41,31,903,1,32.81,23432,240,557,97,9,664
42,32,935,2,32.28,23374,253,568,106,8,689
43,7,942,2,17.82,23331,254,576,103,8,726
44,8,950,2,17.89,23275,250,588,102,9,774
45,22,972,2,18.03,23217,268,592,101,11,809
46,11,983,2,17.95,23175,245,610,115,12,841
47,22,1005,2,18.04,23113,258,620,116,10,881
48,40,1045,2,32.61,23046,272,639,121,12,908
49,3,1048,2,32.9,23001,270,637,129,10,951
50,-15,1033,2,14.37,22984,238,650,133,11,982
51,-21,1012,2,12.25,22963,203,660,135,14,1023
52,-25,987,2,12.33,22941,166,669,137,14,1071
53,-4,983,2,12.26,22913,132,694,141,15,1103
54,-15,968,2,12.01,22890,117,695,136,17,1143
55,30,998,2,32.76,22827,161,679,142,16,1173
56,-6,992,3,32.65,22784,181,651,146,13,1222
57,-28,964,3,12.22,22765,179,626,144,13,1270
58,-28,936,3,12.01,22748,170,614,137,15,1313
59,-36,900,3,12.13,22735,141,603,137,15,1366
60,-43,857,3,11.95,22723,98,607,138,13,1418
61,-29,828,3,11.98,22713,77,603,135,12,1457
62,-14,814,3,32.61,22679,88,582,130,13,1505
63,-7,807,3,33.02,22643,111,548,134,14,1547
64,-27,780,3,11.96,22630,108,539,118,14,1588
65,-30,750,3,11.81,22620,104,507,123,14,1629
66,-28,722,3,12.0,22614,91,500,117,13,1662
67,-51,671,3,12.41,22608,62,489,111,9,1718
68,-32,639,3,12.38,22602,47,476,104,10,1758
69,-24,615,3,33.27,22575,59,430,112,11,1810
