Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,63,183,0,22.15,24817,63,120,0,0,0
2,49,232,0,22.18,24768,112,120,0,0,0
3,23,255,0,21.74,24745,135,116,4,0,0
4,16,271,0,21.45,24729,151,114,6,0,0
5,15,286,0,22.03,24714,149,127,10,0,0
6,32,318,0,37.55,24680,136,169,12,1,2
7,51,369,0,39.73,24626,149,204,12,4,5
8,23,392,0,21.89,24599,147,223,17,4,10
9,17,409,0,22.01,24577,154,228,23,4,14
10,12,421,0,22.11,24561,146,242,27,5,19
11,17,438,0,22.21,24538,139,261,35,3,24
12,15,453,0,21.75,24512,113,297,41,2,35
13,28,481,0,39.95,24473,123,312,44,1,47
14,10,491,0,39.91,24445,135,298,53,3,66
15,-6,485,0,21.25,24431,128,301,54,2,84
16,9,494,0,21.48,24405,129,304,58,3,101
17,8,502,0,22.5,24388,120,317,62,3,110
18,11,513,0,23.14,24367,105,339,63,6,120
19,14,527,0,23.02,24334,116,338,67,6,139
20,5,532,0,40.99,24311,115,337,74,6,157
21,23,555,0,41.26,24273,134,340,75,5,173
22,1,556,0,22.27,24249,136,337,78,5,195
23,7,563,0,22.19,24228,138,335,84,5,210
24,26,589,0,22.77,24185,157,342,83,7,226
25,-5,584,0,22.91,24167,141,347,89,6,250
26,6,590,0,22.59,24140,133,365,85,6,271
27,14,604,0,42.06,24106,144,362,88,10,290
28,8,612,0,41.76,24078,141,371,90,8,312
29,-1,611,0,23.11,24049,135,374,94,6,342
30,14,625,0,22.69,24010,156,368,94,7,365
31,-3,622,0,22.72,23989,147,372,96,6,390
32,6,628,0,21.76,23959,143,392,83,9,414
33,4,632,0,22.17,23926,153,390,80,7,444
34,14,646,0,40.98,23890,156,406,77,7,464
35,8,654,0,40.98,23855,159,411,77,6,492
36,8,662,0,22.86,23823,161,415,79,6,516
37,0,662,0,22.86,23793,163,409,85,5,545
38,7,669,0,22.51,23761,156,419,89,5,570
