Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,54,174,0,17.79,24826,54,120,0,0,0
2,58,232,0,17.87,24768,112,119,1,0,0
3,14,246,0,17.73,24754,126,115,5,0,0
4,12,258,0,17.81,24742,138,105,15,0,0
5,16,274,0,17.75,24726,143,113,18,0,0
6,33,307,0,30.24,24693,123,165,19,0,0
7,42,349,0,30.34,24643,134,193,22,0,8
8,23,372,0,18.02,24616,141,203,27,1,12
9,19,391,0,17.85,24594,147,209,34,1,15
10,20,411,0,18.03,24572,152,217,41,1,17
11,23,434,0,18.03,24545,137,247,50,0,21
12,20,454,0,17.95,24505,139,270,44,1,41
13,20,474,0,30.54,24469,144,283,46,1,57
14,16,490,0,30.57,24435,156,285,45,4,75
15,0,490,0,18.17,24419,151,282,53,3,92
16,7,497,0,17.98,24401,138,296,59,4,102
17,16,513,0,18.01,24380,121,323,64,5,107
18,32,545,0,18.05,24337,137,336,65,6,119
19,16,561,0,18.0,24308,130,353,71,7,131
20,23,584,0,30.69,24270,142,366,70,6,146
21,23,607,0,30.7,24237,156,373,70,8,156
22,-1,606,0,18.08,24214,162,368,68,8,180
23,17,623,0,18.08,24180,163,383,66,10,198
24,21,644,0,18.12,24138,163,406,66,9,218
25,19,663,0,18.33,24102,170,410,75,8,235
26,13,676,0,18.13,24063,178,411,78,8,262
27,28,704,0,30.8,24020,187,424,87,6,276
28,23,727,0,30.87,23982,194,433,92,7,292
29,18,745,0,18.39,23943,196,447,94,8,312
30,35,780,0,18.23,23892,208,463,99,10,328
31,20,800,0,18.46,23841,214,480,95,11,359
32,3,803,0,18.24,23804,212,477,106,8,393
33,19,822,0,18.22,23759,214,496,100,11,420
34,22,844,0,30.97,23704,232,495,105,11,453
35,35,879,0,31.03,23642,249,512,108,10,479
36,19,898,1,18.33,23599,246,534,105,12,503
37,18,916,1,18.54,23550,250,546,104,13,536
38,8,924,1,18.37,23507,241,561,104,18,568
39,14,938,1,18.6,23456,238,581,107,12,605
40,12,950,1,18.46,23408,243,578,116,11,643
41,25,975,1,31.15,23343,253,603,111,8,681
42,7,982,1,31.16,23297,251,600,122,7,722
43,24,1006,1,18.37,23237,261,616,119,10,756
44,11,1017,1,18.67,23188,263,620,122,11,795
45,26,1043,1,18.49,23131,265,643,122,11,827
46,8,1051,1,18.53,23080,261,658,123,9,868
47,9,1060,1,18.53,23027,256,669,125,6,916
48,44,1104,1,31.34,22944,292,676,131,3,953
49,24,1128,1,31.34,22878,300,693,132,3,993
50,11,1139,1,18.62,22824,300,702,132,5,1036
51,29,1168,1,18.65,22756,323,706,131,8,1075
52,13,1181,1,18.9,22710,304,738,126,11,1110
53,10,1191,1,18.88,22649,292,752,135,11,1160
54,20,1211,1,18.87,22576,301,763,128,17,1214
55,52,1263,1,32.18,22490,330,782,132,19,1246
56,46,1309,1,32.17,22401,352,798,140,17,1291
57,11,1320,1,18.8,22346,349,810,143,16,1335
58,33,1353,2,18.98,22271,369,827,143,14,1374
59,16,1369,2,19.03,22207,357,845,150,15,1424
60,36,1405,2,18.92,22121,348,879,164,13,1473
61,20,1425,2,19.12,22044,358,886,168,13,1529
62,38,1463,2,32.53,21958,378,900,170,15,1577
63,72,1535,3,32.54,21852,416,923,176,19,1611
64,17,1552,3,19.24,21787,416,936,180,18,1660
65,30,1582,3,19.23,21697,425,963,176,15,1721
66,41,1623,3,19.12,21607,435,977,193,14,1771
67,14,1637,3,19.17,21525,422,1009,192,14,1835
68,26,1663,3,19.41,21443,406,1055,189,12,1892
69,45,1708,3,32.77,21340,433,1065,196,11,1952
70,44,1752,3,32.82,21230,473,1070,199,9,2016
71,25,1777,3,19.32,21146,452,1118,190,14,2077
72,54,1831,3,19.34,21029,482,1133,201,13,2139
73,23,1854,4,19.56,20931,507,1125,203,15,2215
74,9,1863,4,19.65,20838,493,1141,216,12,2296
75,19,1882,4,19.64,20743,494,1150,224,14,2371
76,47,1929,4,33.1,20638,494,1183,235,16,2430
77,54,1983,4,33.37,20520,505,1222,241,15,2493
78,32,2015,4,19.75,20424,499,1251,248,17,2557
79,22,2037,5,19.75,20333,502,1255,255,20,2630
80,18,2055,6,19.79,20241,485,1291,253,23,2701
81,17,2072,6,19.88,20146,476,1318,248,27,2779
82,0,2072,6,19.88,20056,463,1340,244,24,2867
83,26,2098,6,33.02,19949,470,1342,264,20,2949
84,21,2119,6,33.11,19831,505,1331,261,21,3045
85,0,2119,6,19.87,19756,487,1342,264,24,3121
86,18,2137,6,19.97,19662,484,1342,285,24,3197
87,-24,2113,6,19.97,19581,472,1336,281,24,3300
88,15,2128,6,20.07,19489,457,1366,280,23,3379
89,0,2128,6,20.12,19398,432,1393,277,23,3471
90,69,2197,6,33.67,19241,520,1365,283,27,3558
91,36,2233,6,33.72,19124,538,1383,285,26,3638
92,-7,2226,6,20.15,19038,546,1367,282,27,3734
93,-21,2205,6,19.92,18964,534,1367,279,25,3825
94,-7,2198,6,20.17,18873,498,1392,281,23,3927
95,-1,2197,7,20.19,18780,459,1440,267,30,4017
96,13,2210,7,20.25,18673,450,1464,267,26,4113
97,55,2265,7,33.81,18535,509,1459,265,29,4196
98,39,2304,7,33.83,18400,558,1451,261,31,4292
99,-18,2286,7,20.24,18333,537,1459,258,28,4378
100,-9,2277,7,20.26,18245,521,1468,263,23,4473
101,-19,2258,7,20.24,18160,493,1474,265,23,4578
102,2,2260,7,20.34,18054,460,1514,259,25,4681
103,7,2267,7,20.13,17951,451,1526,260,28,4777
104,48,2315,7,33.29,17806,520,1503,261,28,4875
105,42,2357,8,33.36,17678,567,1494,271,25,4957
106,-10,2347,8,20.41,17581,569,1485,265,26,5066
107,8,2355,8,20.47,17482,560,1513,257,24,5156
108,-3,2352,8,20.34,17371,564,1500,264,23,5270
109,30,2382,8,20.41,17248,550,1529,276,22,5367
110,-10,2372,9,20.24,17139,535,1535,281,18,5483
111,35,2407,9,33.39,16996,590,1520,279,17,5589
112,12,2419,9,33.45,16883,599,1510,284,21,5694
113,-32,2387,9,20.24,16805,560,1504,298,21,5803
114,-2,2385,9,20.28,16700,535,1532,288,28,5908
115,-17,2368,9,20.26,16601,509,1531,302,23,6025
116,11,2379,9,20.51,16494,506,1532,314,25,6120
117,3,2382,9,20.31,16384,500,1536,309,35,6227
118,41,2423,9,33.49,16244,550,1534,303,31,6329
119,8,2431,9,33.54,16129,569,1521,308,31,6433
120,-7,2424,9,20.35,16035,557,1542,293,27,6537
121,-9,2415,9,20.29,15945,542,1542,299,29,6634
122,-31,2384,9,20.5,15858,502,1571,278,29,6753
123,-35,2349,9,20.29,15768,467,1574,273,30,6879
124,-23,2326,9,20.5,15684,442,1584,271,27,6983
125,47,2373,10,34.09,15545,481,1585,278,28,7073
126,9,2382,10,34.07,15434,503,1558,287,31,7177
127,-31,2351,10,20.53,15363,496,1534,288,30,7279
128,-34,2317,10,20.42,15288,473,1531,278,31,7389
129,-17,2300,10,20.28,15196,468,1515,274,38,7499
130,3,2303,10,20.3,15097,438,1538,289,36,7592
131,-9,2294,10,20.45,15007,432,1532,296,31,7692
132,3,2297,10,33.99,14900,462,1510,291,33,7794
133,13,2310,10,33.93,14776,505,1478,287,33,7911
134,-45,2265,10,20.4,14702,494,1444,294,32,8024
135,-13,2252,11,20.21,14633,451,1452,314,30,8109
136,-15,2237,11,20.35,14552,443,1447,319,27,8201
137,-12,2225,11,20.42,14460,421,1480,292,30,8306
138,-38,2187,11,20.08,14382,396,1473,283,26,8429
139,-24,2163,11,33.2,14294,405,1453,280,23,8534
140,22,2185,11,33.17,14181,443,1441,272,26,8626
141,-37,2148,12,20.3,14123,431,1410,282,24,8718
142,-28,2120,12,20.27,14037,415,1423,252,26,8835
143,-25,2095,12,20.24,13947,433,1395,240,23,8950
144,-38,2057,12,19.97,13890,383,1399,243,29,9044
145,-38,2019,12,20.12,13811,375,1377,239,26,9160
146,-5,2014,12,33.58,13722,386,1356,244,25,9255
147,-20,1994,12,33.47,13629,403,1328,239,23,9366
148,-40,1954,12,19.85,13567,380,1318,227,26,9470
149,-27,1927,12,20.04,13500,379,1292,232,22,9563
150,-43,1884,12,19.8,13444,351,1274,231,24,9664
151,-27,1857,12,19.99,13365,342,1261,231,22,9767
152,-29,1828,12,19.98,13312,318,1236,244,25,9853
153,14,1842,13,33.29,13215,351,1225,240,26,9930
154,-25,1817,13,33.2,13146,355,1198,233,29,10026
155,-44,1773,13,19.81,13089,350,1173,224,24,10127
156,-14,1759,13,19.8,13023,349,1152,229,25,10209
157,-43,1716,13,19.82,12962,339,1130,227,19,10310
158,-32,1684,13,19.69,12905,305,1120,235,21,10401
159,-35,1649,13,19.66,12845,296,1112,215,23,10496
160,-16,1633,13,32.87,12771,316,1085,212,17,10586
161,-24,1609,13,32.88,12713,314,1065,214,16,10665
162,-39,1570,13,19.63,12669,293,1049,208,17,10751
163,-29,1541,13,19.39,12622,274,1044,206,15,10826
164,-22,1519,13,19.3,12564,270,1023,209,14,10907
165,-53,1466,13,19.37,12520,249,999,207,9,11003
166,-28,1438,13,19.44,12474,237,984,202,13,11077
167,-9,1429,13,32.67,12416,257,956,200,14,11144
168,-8,1421,13,32.59,12355,261,952,192,15,11212
169,-18,1403,13,19.2,12306,259,927,196,17,11282
170,-40,1363,13,19.22,12267,254,905,180,20,11361
171,-45,1318,13,19.36,12233,228,891,178,18,11439
172,-41,1277,13,19.15,12192,220,864,171,15,11525
173,-29,1248,14,19.16,12144,221,854,158,13,11596
174,3,1251,14,31.92,12083,233,846,154,15,11655
175,-10,1241,14,31.77,12028,236,835,150,18,11719
176,-54,1187,14,19.04,12000,226,792,149,17,11802
177,-38,1149,14,19.2,11968,222,772,138,16,11870
178,-30,1119,14,19.04,11937,204,758,137,17,11933
179,-47,1072,14,19.24,11903,173,741,137,18,12014
180,-8,1064,14,19.06,11857,175,736,138,14,12066
181,1,1065,14,32.05,11807,192,721,135,15,12116
182,-15,1050,14,32.0,11767,203,700,133,14,12169
183,-38,1012,14,18.85,11740,193,667,134,16,12236
184,-33,979,14,19.01,11711,189,637,136,16,12297
185,-21,958,14,18.95,11685,168,638,134,17,12344
186,-18,940,14,18.92,11650,147,637,139,15,12398
187,-40,900,14,18.65,11624,143,619,123,13,12464
188,-14,886,14,31.1,11579,162,591,119,13,12522
189,-5,881,14,31.12,11533,177,577,113,12,12574
190,-29,852,14,18.81,11510,174,563,102,10,12627
191,-31,821,14,18.59,11483,168,537,104,10,12684
192,-30,791,14,18.71,11462,153,523,102,12,12734
193,-30,761,14,18.86,11440,136,520,93,11,12786
194,-31,730,14,18.59,11414,122,507,93,8,12842
195,-3,727,14,31.13,11386,125,503,91,7,12874
196,-5,722,14,31.16,11354,137,486,92,7,12910
197,-3,719,14,18.8,11332,130,484,96,8,12936
198,-34,685,14,18.74,11321,119,462,94,10,12980
199,-15,670,14,18.51,11298,108,465,88,8,13019
200,-14,656,14,18.7,11277,101,458,88,9,13053
