Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,80,200,0,18.24,24800,80,120,0,0,0
2,50,250,0,18.4,24750,130,120,0,0,0
3,14,264,0,18.3,24736,144,115,5,0,0
4,14,278,0,18.28,24722,158,112,8,0,0
5,15,293,0,18.4,24707,162,118,12,1,0
6,48,341,0,31.36,24659,145,177,17,2,0
7,42,383,0,31.27,24616,144,216,21,2,1
8,32,415,0,18.39,24579,159,230,23,3,6
9,17,432,0,18.18,24561,157,247,25,3,7
10,19,451,0,18.36,24533,163,253,32,3,16
11,22,473,0,18.3,24505,148,286,36,3,22
12,8,481,0,18.55,24486,131,303,45,2,33
13,27,508,0,31.61,24442,142,317,43,4,52
14,19,527,0,31.75,24407,151,324,45,6,67
15,14,541,0,18.52,24379,155,327,49,8,82
16,23,564,0,18.44,24344,156,348,50,9,93
17,13,577,0,18.59,24319,152,359,56,10,104
18,29,606,0,18.64,24276,166,371,62,7,118
19,13,619,0,18.46,24250,156,391,63,9,131
20,23,642,0,31.67,24210,170,402,62,8,148
21,23,665,1,31.53,24171,170,421,65,9,163
22,16,681,1,18.85,24137,180,416,76,9,181
23,17,698,1,19.65,24098,176,432,82,8,203
24,17,715,1,19.76,24060,182,434,89,10,224
25,14,729,2,19.55,24022,187,436,97,8,248
26,34,763,2,19.8,23970,203,446,104,9,266
27,33,796,2,33.05,23912,222,452,113,9,290
28,20,816,2,33.5,23871,225,462,120,8,312
29,21,837,2,19.93,23830,232,475,119,9,333
30,-2,835,2,20.03,23799,215,494,116,8,366
31,25,860,2,19.7,23744,220,518,114,7,395
32,21,881,2,19.74,23697,213,539,123,6,420
33,14,895,2,19.93,23648,224,546,114,9,457
34,24,919,2,33.61,23592,237,564,108,10,487
35,22,941,2,33.37,23533,256,574,104,7,524
36,21,962,2,20.0,23479,259,591,105,7,557
37,19,981,2,19.99,23423,275,594,103,7,596
38,1,982,2,20.17,23377,269,605,98,10,639
39,34,1016,2,19.95,23311,272,625,110,9,671
40,29,1045,2,19.99,23245,280,655,103,7,708
41,48,1093,2,33.22,23165,313,663,111,6,740
42,31,1124,2,33.35,23107,313,683,118,10,767
43,34,1158,2,20.01,23033,332,695,124,5,809
44,10,1168,2,20.08,22972,327,714,115,7,863
45,25,1193,2,20.14,22895,337,732,117,7,910
46,16,1209,2,20.39,22834,324,754,118,10,958
47,5,1214,2,20.04,22778,319,759,122,14,1006
48,42,1256,2,33.54,22708,328,786,124,18,1034
49,37,1293,3,33.46,22632,335,811,133,13,1073
50,0,1293,3,19.87,22580,321,811,144,16,1125
51,32,1325,3,19.18,22488,340,828,143,14,1184
52,43,1368,3,19.4,22401,369,835,145,16,1231
53,15,1383,3,19.38,22337,352,865,148,17,1278
54,20,1403,3,19.35,22266,364,872,146,21,1328
55,45,1448,3,32.27,22173,395,883,150,20,1376
56,58,1506,3,32.32,22073,406,922,151,27,1418
57,37,1543,3,19.32,21986,415,933,167,24,1472
58,11,1554,3,19.63,21913,422,942,169,21,1530
59,28,1582,3,19.63,21833,422,967,174,18,1583
60,18,1600,3,19.44,21759,396,1007,179,18,1638
61,18,1618,3,19.68,21688,372,1045,176,22,1694
62,57,1675,3,33.05,21564,418,1059,182,16,1758
