Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,68,188,0,17.16,24812,68,120,0,0,0
2,44,232,0,17.46,24768,112,119,1,0,0
3,18,250,0,17.02,24750,130,114,6,0,0
4,13,263,0,17.28,24737,143,111,9,0,0
5,12,275,0,16.97,24725,139,123,13,0,0
6,43,318,0,32.47,24682,128,175,15,0,0
7,37,355,0,32.95,24644,133,204,18,0,1
8,22,377,0,17.19,24617,133,222,22,0,6
9,22,399,0,17.17,24589,154,221,23,1,12
10,15,414,0,17.2,24569,147,242,24,1,17
11,10,424,0,17.34,24551,128,267,26,2,26
12,18,442,0,17.25,24525,116,294,30,2,33
13,29,471,0,32.83,24484,136,299,34,1,46
14,21,492,0,32.94,24447,140,313,33,4,63
15,0,492,0,17.46,24429,142,304,42,4,79
16,9,501,0,17.34,24413,134,316,45,6,86
17,26,527,0,17.64,24382,133,340,47,7,91
18,25,552,0,17.52,24350,129,364,49,8,100
19,9,561,0,17.28,24322,127,373,51,9,118
20,17,578,0,33.52,24289,138,375,56,9,133
21,28,606,0,32.77,24247,158,379,63,6,147
22,-6,600,0,17.85,24227,155,376,63,6,173
23,13,613,0,17.67,24203,143,397,67,5,185
24,27,640,0,17.51,24157,166,393,72,7,205
25,16,656,0,17.44,24124,152,426,71,7,220
26,15,671,0,17.36,24087,161,426,76,7,243
27,19,690,0,33.05,24049,180,415,90,4,262
28,11,701,0,32.98,24017,183,418,94,5,283
29,9,710,0,17.95,23984,173,429,102,4,308
30,14,724,0,17.77,23950,178,434,104,7,327
31,-4,720,0,17.42,23925,152,460,99,9,355
32,14,734,0,17.7,23887,151,468,103,10,381
33,11,745,0,17.79,23851,160,468,104,13,404
34,11,756,0,33.63,23809,178,459,107,12,435
35,5,761,0,33.83,23771,182,464,103,11,469
36,-4,757,0,17.69,23740,183,472,92,10,503
37,13,770,0,17.68,23699,192,473,95,10,531
38,1,771,0,17.85,23657,192,476,98,5,572
39,11,782,1,17.64,23615,194,474,110,3,603
40,1,783,1,17.68,23589,184,481,114,4,627
41,23,806,1,33.3,23539,196,496,108,5,655
42,14,820,1,33.38,23486,211,498,103,7,694
43,-4,816,1,17.68,23448,210,501,99,6,735
44,3,819,1,17.96,23411,205,509,97,8,769
45,3,822,1,18.15,23367,219,496,99,8,810
46,-2,820,1,17.69,23334,200,518,93,6,848
47,8,828,1,17.9,23290,197,539,84,7,882
48,37,865,1,33.31,23229,210,559,85,10,906
49,27,892,1,33.84,23172,232,554,92,13,936
50,9,901,1,17.7,23134,231,564,94,12,964
51,-2,899,1,17.67,23094,234,555,97,12,1007
52,6,905,1,18.33,23052,236,550,108,9,1044
53,25,930,1,18.24,22994,219,589,108,13,1076
54,33,963,1,18.16,22923,249,598,105,11,1113
55,33,996,1,33.26,22860,271,601,111,12,1144
56,29,1025,1,33.31,22800,293,605,112,13,1176
57,0,1025,1,18.05,22760,283,618,114,10,1214
58,18,1043,1,17.93,22702,285,639,110,9,1254
59,7,1050,1,17.96,22662,270,663,110,6,1288
60,29,1079,1,17.89,22595,267,695,110,6,1326
61,1,1080,1,17.93,22542,258,706,105,10,1378
62,29,1109,1,33.69,22482,270,714,113,10,1410
63,12,1121,1,33.44,22432,273,718,118,10,1448
64,5,1126,1,18.16,22387,262,742,113,8,1487
65,-2,1124,1,17.95,22340,250,754,114,6,1535
66,22,1146,1,18.05,22275,257,755,125,7,1580
67,11,1157,1,18.27,22222,261,753,133,9,1621
68,20,1177,1,18.43,22164,268,754,140,11,1662
69,32,1209,1,34.03,22087,295,768,129,16,1704
70,39,1248,1,34.28,22009,323,749,160,14,1744
71,12,1260,1,18.08,21958,316,769,158,17,1781
72,0,1260,1,18.18,21898,322,774,149,15,1841
73,10,1270,1,18.17,21834,306,795,151,13,1900
74,19,1289,1,18.14,21762,311,817,146,14,1949
75,18,1307,1,18.13,21689,325,825,143,13,2004
76,39,1346,1,33.92,21595,358,830,148,10,2058
77,45,1391,1,34.1,21513,392,824,161,12,2097
78,-10,1381,2,18.28,21463,369,831,171,10,2154
79,14,1395,2,18.42,21407,353,867,160,14,2197
80,19,1414,2,18.58,21342,332,892,169,21,2242
81,20,1434,3,18.24,21265,324,925,168,17,2298
82,27,1461,3,18.5,21196,330,926,184,20,2341
83,47,1508,3,34.46,21107,346,954,182,24,2384
84,28,1536,3,34.15,21028,367,964,180,23,2435
85,-1,1535,3,18.5,20965,370,967,175,21,2499
86,-9,1526,4,18.62,20906,361,974,172,18,2565
87,7,1533,4,18.64,20843,337,1008,170,17,2621
88,35,1568,4,18.78,20753,342,1045,163,18,2675
89,3,1571,4,18.82,20681,344,1050,159,17,2745
