Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,68,188,0,16.88,24812,68,120,0,0,0
2,47,235,0,16.8,24765,115,117,3,0,0
3,15,250,0,16.66,24750,130,116,4,0,0
4,20,270,0,16.7,24730,149,113,8,0,0
5,11,281,0,16.67,24719,144,121,16,0,0
6,34,315,0,31.34,24685,123,175,17,0,0
7,43,358,0,31.4,24637,136,201,18,2,6
8,19,377,0,16.68,24612,137,217,19,3,12
9,11,388,0,16.88,24592,141,224,20,3,20
10,7,395,0,16.93,24580,134,231,25,5,25
11,15,410,0,16.89,24556,123,255,28,4,34
12,25,435,0,16.91,24525,115,277,39,4,40
13,30,465,0,31.75,24480,131,288,42,2,57
14,20,485,0,31.88,24438,157,281,45,2,77
15,18,503,0,17.46,24411,165,290,45,3,86
16,8,511,0,16.85,24390,161,290,58,2,99
17,14,525,0,17.18,24369,157,304,62,2,106
18,20,545,0,17.3,24339,142,333,67,2,117
19,25,570,0,17.13,24300,140,360,67,3,130
20,27,597,0,32.21,24246,162,368,65,2,157
21,21,618,0,32.08,24213,175,371,70,2,169
22,18,636,0,17.39,24183,182,377,70,4,184
23,8,644,0,17.13,24153,191,373,74,6,203
24,19,663,0,17.16,24118,173,410,76,4,219
25,34,697,0,17.14,24072,179,436,74,6,233
26,19,716,0,17.28,24036,178,459,70,9,248
27,34,750,0,32.16,23983,196,468,78,8,267
28,14,764,0,32.42,23941,211,467,77,9,295
29,17,781,0,17.48,23907,207,483,79,11,313
30,3,784,0,17.21,23872,196,497,78,11,346
31,12,796,0,17.48,23833,203,502,82,9,371
32,5,801,0,17.48,23795,185,527,83,5,405
33,10,811,0,17.4,23752,194,525,87,4,438
34,28,839,0,32.82,23694,213,526,93,7,467
35,15,854,0,32.7,23649,229,526,91,8,497
36,16,870,0,17.49,23608,219,547,93,11,522
37,2,872,0,17.26,23570,218,555,86,12,559
38,15,887,0,17.27,23523,223,555,95,10,594
39,12,899,0,17.68,23467,226,560,102,11,634
40,22,921,0,17.41,23416,233,562,111,14,664
41,18,939,0,32.35,23362,244,578,102,13,701
42,24,963,0,32.36,23308,254,595,99,13,731
43,11,974,0,17.93,23253,267,590,104,12,774
44,18,992,0,17.6,23198,268,598,113,10,813
45,12,1004,0,17.42,23149,268,615,112,9,847
46,18,1022,0,17.53,23098,265,632,114,9,882
47,8,1030,0,17.79,23050,262,642,119,6,921
48,37,1067,0,32.57,22975,277,656,124,8,960
49,23,1090,0,32.49,22913,279,673,126,12,997
50,7,1097,0,17.73,22867,273,672,137,15,1036
51,23,1120,0,17.68,22805,291,676,134,18,1076
52,20,1140,0,17.64,22746,289,704,129,18,1114
53,24,1164,0,17.59,22677,298,712,132,21,1160
54,16,1180,0,17.82,22619,289,731,131,25,1205
55,37,1217,0,32.33,22540,325,730,139,22,1244
56,14,1231,1,32.6,22480,327,748,132,21,1291
57,-4,1227,1,17.76,22429,314,759,133,20,1344
58,29,1256,1,17.98,22367,313,780,145,18,1376
59,13,1269,1,17.92,22311,293,808,151,17,1419
60,8,1277,1,17.84,22250,295,826,144,12,1472
61,-2,1275,1,17.84,22200,278,842,138,15,1526
62,36,1311,1,32.91,22114,313,846,138,13,1575
63,37,1348,1,32.77,22034,326,861,145,16,1617
64,15,1363,1,17.94,21965,338,865,142,18,1671
65,-1,1362,1,17.91,21905,343,858,148,13,1732
66,9,1371,1,18.19,21845,340,863,154,12,1785
67,13,1384,1,17.95,21778,327,885,158,13,1838
68,5,1389,1,17.91,21710,314,905,159,11,1900
69,37,1426,1,34.19,21628,328,919,166,12,1946
70,51,1477,1,33.1,21528,369,924,169,12,1997
71,13,1490,1,17.98,21458,381,912,181,14,2053
72,1,1491,1,18.17,21395,379,911,183,15,2116
73,2,1493,1,17.97,21332,367,929,179,16,2176
74,0,1493,1,18.25,21278,336,949,189,16,2231
75,12,1505,1,18.35,21215,301,993,192,17,2281
76,23,1528,1,33.04,21123,330,976,202,17,2351
77,34,1562,1,33.04,21040,358,976,205,23,2397
78,-7,1555,1,18.28,20991,347,966,220,20,2455
79,-12,1543,1,18.34,20927,347,944,231,20,2530
80,6,1549,1,18.46,20851,360,942,218,26,2602
81,-12,1537,1,18.1,20787,336,972,199,30,2675
82,10,1547,1,18.1,20715,325,998,195,28,2738
83,2,1549,1,33.15,20636,358,972,186,31,2816
84,29,1578,1,33.13,20552,371,990,189,27,2870
85,1,1579,2,18.56,20481,368,994,191,24,2940
86,-3,1576,3,18.33,20416,368,1002,182,24,3005
87,5,1581,3,18.26,20341,365,1007,182,21,3081
88,-9,1572,3,18.28,20267,347,1035,172,15,3161
89,1,1573,3,18.35,20206,340,1030,187,13,3221
90,35,1608,3,33.58,20105,372,1014,207,12,3287
91,39,1647,3,33.39,20005,401,1015,212,17,3347
92,-1,1646,3,18.63,19938,400,1019,205,20,3415
93,10,1656,3,18.44,19864,400,1034,202,19,3478
94,12,1668,3,18.54,19779,402,1042,203,20,3551
95,-12,1656,3,18.58,19702,381,1046,205,22,3641
96,14,1670,3,18.29,19623,377,1067,201,24,3705
97,18,1688,3,33.45,19534,405,1056,203,19,3780
98,19,1707,3,33.32,19444,425,1063,200,17,3848
99,5,1712,4,18.27,19360,422,1078,196,15,3925
100,16,1728,4,18.49,19278,424,1081,203,18,3992
101,5,1733,4,18.37,19209,402,1123,191,17,4054
102,-18,1715,4,18.71,19137,387,1096,208,18,4150
103,-18,1697,4,18.52,19069,370,1098,204,21,4234
