Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,57,177,0,16.12,24823,57,120,0,0,0
2,47,224,0,16.21,24776,104,118,2,0,0
3,12,236,0,16.23,24764,116,114,5,1,0
4,10,246,0,16.31,24754,125,111,9,1,0
5,17,263,0,16.28,24737,125,123,14,1,0
6,39,302,0,30.48,24697,119,165,17,1,1
7,37,339,0,30.6,24657,128,188,22,1,4
8,16,355,0,16.4,24635,133,193,28,1,10
9,11,366,0,16.42,24621,134,194,36,2,13
10,7,373,0,16.38,24612,119,215,34,5,15
11,24,397,0,16.49,24580,118,239,35,4,24
12,27,424,0,16.51,24548,107,272,39,6,28
13,29,453,0,30.95,24505,129,277,43,4,42
14,11,464,0,30.93,24475,150,267,43,3,62
15,6,470,0,16.47,24454,150,273,44,3,76
16,8,478,0,16.5,24432,139,290,46,3,90
17,20,498,0,16.41,24405,135,307,53,2,98
18,22,520,0,16.48,24375,129,332,54,4,106
19,35,555,0,16.63,24330,148,346,56,4,116
20,15,570,0,31.03,24297,157,353,57,2,134
21,9,579,0,31.13,24271,159,357,62,1,150
22,4,583,0,16.63,24256,148,365,70,0,161
23,18,601,0,16.69,24224,137,392,71,1,175
24,14,615,0,16.68,24189,133,412,66,3,197
25,13,628,0,16.75,24156,142,407,75,3,217
26,10,638,0,16.73,24123,146,416,71,5,239
27,17,655,0,31.17,24088,172,398,80,5,257
28,14,669,0,31.18,24049,171,415,79,4,282
29,8,677,0,16.87,24018,167,428,77,5,305
30,16,693,0,16.74,23980,168,442,76,6,328
31,4,697,0,16.72,23950,164,443,81,9,353
32,18,715,0,16.72,23906,177,448,78,11,380
33,8,723,0,16.8,23864,178,453,81,11,413
34,15,738,0,31.06,23818,197,453,76,11,445
35,0,738,0,31.19,23787,193,454,79,9,478
36,9,747,1,16.77,23751,195,463,81,7,502
37,5,752,1,16.9,23714,185,477,84,6,533
38,11,763,1,16.72,23672,187,483,87,6,564
39,12,775,1,16.8,23636,183,503,78,7,592
40,10,785,1,16.81,23595,197,499,82,7,619
