Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,41,161,0,17.06,24839,41,120,0,0,0
2,39,200,0,17.09,24800,80,117,3,0,0
3,21,221,0,16.94,24779,101,113,7,0,0
4,18,239,0,16.93,24761,119,108,12,0,0
5,16,255,0,16.91,24745,128,111,16,0,0
6,29,284,0,30.46,24716,122,144,16,2,0
7,36,320,0,30.55,24674,132,169,17,2,6
8,28,348,0,17.23,24640,139,183,24,2,12
9,16,364,0,17.01,24621,140,191,30,3,15
10,11,375,0,17.01,24606,137,204,31,3,19
11,9,384,0,17.27,24589,124,223,33,3,28
12,23,407,0,17.35,24558,106,260,37,4,35
13,21,428,0,31.4,24525,112,276,35,3,49
14,14,442,0,31.46,24499,120,281,36,5,59
15,5,447,0,17.41,24482,126,280,31,8,73
16,1,448,0,17.42,24468,119,279,41,9,84
17,17,465,0,17.4,24442,109,301,46,9,93
18,16,481,1,17.43,24413,111,315,48,7,105
19,6,487,1,17.52,24391,105,327,52,3,121
20,32,519,1,31.47,24351,127,325,61,4,131
21,23,542,1,31.49,24316,152,318,66,6,141
22,5,547,1,17.52,24298,142,331,69,4,155
23,8,555,2,17.51,24276,135,345,70,5,167
24,16,571,2,17.5,24240,142,353,70,4,189
25,13,584,2,17.55,24211,136,368,74,5,204
26,7,591,2,17.6,24183,131,383,69,8,224
27,20,611,2,31.62,24147,147,390,67,7,240
28,17,628,2,31.7,24115,151,406,62,7,257
29,-3,625,2,17.62,24087,148,419,50,7,287
30,7,632,2,17.64,24056,156,414,55,7,310
31,11,643,2,17.62,24028,149,426,58,8,329
32,-2,641,2,17.69,24004,139,440,55,7,353
33,4,645,2,17.67,23973,138,442,58,6,381
34,26,671,2,31.62,23929,157,436,70,8,398
35,20,691,2,31.73,23887,171,440,71,9,420
36,13,704,2,17.67,23852,177,444,73,10,442
37,17,721,2,17.72,23814,188,437,83,12,464
38,8,729,2,17.66,23779,182,452,85,8,492
39,-2,727,2,17.72,23741,180,452,88,7,530
40,15,742,2,17.7,23690,196,457,81,7,567
41,16,758,2,31.76,23639,214,454,82,8,601
42,13,771,3,31.84,23592,222,464,75,10,634
43,13,784,3,17.7,23554,219,474,80,9,661
44,4,788,3,17.69,23517,219,477,81,10,693
45,12,800,3,17.78,23472,214,495,81,9,726
