Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,53,173,0,16.77,24827,53,120,0,0,0
2,54,227,0,16.87,24773,107,118,2,0,0
3,29,256,0,16.95,24744,136,116,4,0,0
4,12,268,0,16.95,24732,148,114,6,0,0
5,13,281,0,16.93,24719,150,120,11,0,0
6,23,304,0,30.53,24696,130,159,15,0,0
7,26,330,0,30.57,24667,114,193,22,1,3
8,23,353,0,16.99,24638,114,210,28,1,9
9,14,367,0,17.0,24615,119,217,27,4,18
10,16,383,0,17.09,24596,119,225,35,4,21
11,15,398,0,17.09,24578,109,248,36,4,25
12,16,414,0,17.11,24553,110,262,37,5,33
13,24,438,0,30.75,24518,119,269,44,6,44
14,-1,437,0,30.71,24497,113,271,45,5,69
15,7,444,0,17.17,24476,118,271,51,4,80
16,4,448,0,17.1,24459,114,277,53,4,93
17,15,463,0,17.16,24434,119,285,56,3,103
18,3,466,0,17.12,24413,105,302,57,1,122
19,8,474,0,17.13,24391,104,312,55,3,135
20,28,502,1,30.84,24352,124,316,59,3,145
21,7,509,2,30.82,24327,130,318,55,5,163
22,1,510,2,17.2,24308,130,311,64,5,180
23,6,516,2,17.21,24288,127,323,60,6,194
24,22,538,2,17.19,24254,127,341,62,8,206
25,7,545,2,17.29,24228,127,343,64,10,226
26,17,562,2,17.2,24198,129,356,64,12,239
27,2,564,2,30.86,24175,134,349,69,11,260
28,11,575,2,30.81,24142,148,349,68,10,281
29,5,580,2,17.25,24121,136,357,75,12,297
30,15,595,2,17.36,24091,133,369,81,10,314
31,7,602,2,17.29,24058,141,368,80,12,339
32,9,611,2,17.27,24024,143,378,77,12,364
33,-6,605,2,17.3,24003,140,373,81,11,390
34,5,610,2,30.95,23974,144,377,77,11,415
35,27,637,2,31.08,23926,158,394,74,10,436
36,5,642,2,17.34,23895,156,389,83,13,462
37,10,652,2,17.31,23861,164,399,78,10,486
38,-10,642,2,17.35,23835,164,391,75,9,524
39,-7,635,2,17.34,23798,160,402,64,8,566
40,-3,632,2,17.31,23775,150,414,64,4,591
41,38,670,2,30.95,23723,173,422,69,3,608
42,19,689,2,30.94,23678,181,435,68,4,632
43,-1,688,2,17.31,23648,180,435,69,4,662
44,1,689,2,17.36,23622,178,438,73,0,687
45,10,699,2,17.27,23584,181,442,73,2,716
46,19,718,2,17.44,23544,169,466,76,5,738
47,5,723,2,17.47,23514,169,462,85,5,763
48,14,737,2,30.97,23470,179,463,90,5,791
49,8,745,3,30.94,23427,186,459,90,9,826
50,3,748,3,17.38,23398,189,461,84,12,853
51,5,753,3,17.46,23368,176,473,93,11,876
52,4,757,3,17.54,23332,171,480,94,11,909
53,10,767,3,17.64,23295,172,477,105,13,935
54,14,781,3,17.62,23259,168,497,102,13,958
55,13,794,3,31.15,23215,186,494,107,7,988
56,9,803,3,31.2,23170,199,492,104,7,1025
57,14,817,3,17.5,23132,196,505,108,8,1048
58,0,817,3,17.62,23097,199,502,106,9,1084
59,-9,808,3,17.51,23064,194,502,105,6,1126
60,5,813,3,17.58,23024,188,523,93,8,1161
61,-1,812,3,17.56,22993,176,521,101,13,1193
62,26,838,3,31.34,22933,196,527,104,11,1226
63,27,865,3,31.36,22881,216,531,105,13,1251
64,2,867,3,17.62,22840,215,532,107,13,1290
65,11,878,3,17.6,22799,224,523,115,14,1322
66,-14,864,4,17.56,22771,211,528,115,9,1362
67,10,874,4,17.68,22727,197,545,121,10,1396
68,5,879,4,17.72,22685,192,554,119,12,1434
69,6,885,4,31.54,22637,204,558,116,7,1474
70,34,919,4,31.48,22572,232,569,110,7,1506
71,-6,913,4,17.67,22533,234,563,108,8,1550
72,12,925,4,17.73,22494,233,577,103,11,1578
73,-5,920,4,17.77,22447,233,572,105,9,1630
74,-1,919,4,17.84,22406,214,588,109,8,1671
75,9,928,4,17.72,22360,213,593,112,9,1709
76,28,956,4,31.3,22293,235,604,105,12,1747
77,27,983,4,31.3,22233,248,615,108,11,1781
78,5,988,4,17.7,22188,256,601,120,11,1820
79,20,1008,4,17.81,22137,259,600,136,10,1854
80,5,1013,4,17.77,22092,257,612,133,11,1891
81,-2,1011,4,17.77,22046,242,626,131,12,1939
82,10,1021,4,17.83,21995,234,646,126,12,1983
83,27,1048,4,31.82,21931,251,655,127,15,2017
84,29,1077,4,31.78,21867,275,657,128,16,2053
85,-9,1068,4,17.92,21831,261,663,126,16,2099
86,-10,1058,4,17.92,21786,261,661,124,12,2152
87,15,1073,4,17.84,21733,253,693,119,8,2190
88,-1,1072,4,17.83,21684,240,696,128,8,2240
89,19,1091,5,17.87,21632,234,719,127,10,2273
90,21,1112,5,31.6,21567,255,723,121,12,2317
91,20,1132,5,31.7,21507,278,706,136,12,2356
92,-7,1125,6,17.88,21469,263,714,132,14,2402
93,6,1131,6,17.88,21425,252,725,139,14,2439
94,-4,1127,6,17.83,21371,248,718,146,14,2497
95,21,1148,6,17.84,21305,258,722,150,14,2545
96,0,1148,6,17.97,21252,257,728,145,16,2596
97,16,1164,6,31.7,21185,285,714,149,15,2646
98,23,1187,6,31.69,21118,297,729,145,16,2689
99,-13,1174,6,17.94,21068,299,721,138,13,2755
100,11,1185,6,17.94,21009,294,750,129,11,2801
101,-17,1168,6,18.07,20964,281,742,131,11,2865
102,4,1172,6,18.08,20907,268,768,127,9,2915
103,16,1188,6,18.07,20843,277,770,128,10,2966
104,55,1243,6,31.63,20748,310,782,138,10,3006
105,11,1254,6,31.85,20694,318,796,129,11,3046
106,-2,1252,6,18.07,20644,314,783,139,14,3100
107,-7,1245,7,18.05,20599,305,781,141,14,3153
108,10,1255,7,18.0,20544,282,815,143,15,3194
109,24,1279,7,18.1,20477,277,844,142,15,3238
110,12,1291,7,18.09,20416,276,846,154,15,3286
111,23,1314,7,31.9,20344,304,840,154,14,3337
112,35,1349,7,31.95,20265,330,834,167,16,3381
113,-2,1347,7,18.13,20213,330,832,170,14,3434
114,-6,1341,7,18.14,20162,305,852,165,17,3492
115,-7,1334,7,18.13,20106,306,852,158,17,3554
116,0,1334,7,18.19,20059,275,883,152,21,3603
117,1,1335,7,18.21,19991,278,883,156,17,3668
118,23,1358,7,32.0,19908,302,883,152,20,3728
119,21,1379,7,32.37,19832,322,885,153,18,3783
120,8,1387,7,18.28,19773,336,870,162,17,3835
121,-26,1361,7,18.21,19731,323,853,167,15,3904
122,-3,1358,7,18.18,19684,302,875,164,14,3954
123,-3,1355,7,18.29,19635,268,903,168,13,4006
124,2,1357,7,18.27,19573,255,909,180,13,4063
125,24,1381,8,32.01,19488,287,896,175,19,4127
126,28,1409,8,32.05,19401,329,887,170,22,4183
127,-15,1394,8,18.26,19358,327,872,170,24,4241
128,-27,1367,8,18.16,19314,315,866,164,19,4314
129,-2,1365,8,18.06,19259,302,869,165,25,4372
130,5,1370,8,18.13,19201,280,897,167,24,4423
131,7,1377,8,18.22,19125,284,901,164,26,4492
132,4,1381,8,31.9,19044,313,890,158,20,4567
133,3,1384,8,32.03,18980,333,873,158,18,4630
134,-10,1374,8,18.17,18931,327,865,167,13,4689
135,-8,1366,9,18.23,18885,310,871,173,12,4740
136,-17,1349,9,18.19,18835,283,877,176,13,4807
137,-10,1339,9,18.23,18786,252,891,179,17,4866
138,4,1343,9,18.16,18721,258,893,174,16,4929
139,6,1349,10,31.89,18644,294,872,167,16,4997
140,-1,1348,11,32.18,18584,303,857,169,17,5059
141,-2,1346,12,18.28,18536,299,861,166,19,5107
142,8,1354,12,18.24,18483,294,862,180,16,5153
143,-30,1324,12,18.22,18441,268,864,174,16,5225
144,-15,1309,13,18.11,18384,259,858,176,13,5297
145,-20,1289,13,18.11,18334,252,859,162,16,5364
146,12,1301,13,31.65,18255,278,846,156,19,5433
147,1,1302,13,31.61,18187,292,846,145,17,5500
148,-13,1289,15,18.26,18132,302,828,145,13,5565
149,-10,1279,15,18.22,18078,298,823,145,10,5631
150,-33,1246,16,18.2,18049,273,828,132,10,5692
151,-2,1244,16,17.9,17987,257,844,129,12,5755
152,-10,1234,16,17.93,17934,247,831,140,14,5818
153,21,1255,16,31.38,17867,260,824,157,13,5863
154,-3,1252,16,31.53,17815,267,806,160,17,5919
155,-12,1240,16,18.09,17779,266,794,160,19,5966
156,-22,1218,17,18.05,17744,245,796,156,19,6023
157,-22,1196,18,17.93,17705,222,796,162,16,6081
158,-15,1181,18,17.94,17663,207,781,176,14,6141
159,-12,1169,18,18.09,17610,203,780,168,17,6204
160,7,1176,18,31.68,17549,236,765,159,16,6257
161,-1,1175,18,31.63,17494,254,758,148,14,6314
162,-21,1154,18,17.98,17458,241,751,149,13,6370
163,-8,1146,18,17.96,17407,254,737,139,13,6432
164,-14,1132,18,17.9,17364,242,732,144,14,6486
165,-20,1112,18,17.92,17322,217,748,135,12,6548
166,-7,1105,18,17.97,17270,222,731,142,8,6609
167,9,1114,18,31.41,17218,241,715,147,10,6651
168,3,1117,18,31.52,17162,246,703,154,13,6704
169,-9,1108,18,18.03,17125,241,691,158,13,6754
170,-8,1100,18,18.11,17075,248,677,160,13,6809
171,-21,1079,18,18.07,17034,234,691,140,12,6871
172,-20,1059,19,18.08,16994,213,696,138,10,6930
173,-9,1050,21,18.07,16952,208,688,143,10,6978
174,5,1055,21,31.92,16897,224,682,136,10,7030
175,22,1077,21,31.97,16830,248,681,138,9,7073
176,-15,1062,21,18.1,16793,243,668,142,9,7124
177,-12,1050,21,18.15,16755,234,669,138,8,7175
178,-6,1044,21,17.92,16714,228,669,135,10,7223
179,-14,1030,21,17.93,16677,208,668,139,12,7275
180,-5,1025,21,17.98,16638,193,683,133,15,7317
181,4,1029,21,31.5,16578,218,662,134,13,7374
182,-5,1024,21,31.46,16528,232,645,132,12,7430
183,-16,1008,21,17.99,16494,220,644,135,9,7477
184,-10,998,21,17.84,16464,212,639,137,10,7517
185,-5,993,21,17.9,16428,198,653,127,15,7558
186,-12,981,21,18.01,16394,173,673,115,17,7607
187,-2,979,21,18.07,16344,189,658,117,15,7656
188,15,994,22,31.75,16293,203,663,118,9,7692
189,0,994,22,31.63,16240,219,651,114,7,7747
190,-8,986,22,17.92,16205,221,632,122,9,7789
191,-16,970,22,17.97,16172,221,619,120,9,7837
192,-17,953,22,17.93,16136,199,629,116,9,7889
193,-19,934,22,17.93,16105,186,622,115,10,7940
194,1,935,22,17.96,16059,183,627,112,13,7984
195,4,939,22,31.51,16014,191,620,114,13,8026
196,4,943,22,31.51,15972,198,616,117,12,8063
197,-20,923,22,17.9,15943,195,604,112,10,8114
198,-13,910,22,17.72,15906,197,595,105,11,8164
199,-9,901,22,17.76,15877,179,592,120,10,8200
200,3,904,22,17.82,15838,175,591,120,15,8239
