Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,66,186,0,17.69,24814,66,120,0,0,0
2,39,225,0,17.71,24775,105,118,1,1,0
3,17,242,0,17.84,24758,122,113,6,1,0
4,10,252,0,17.73,24748,132,109,10,1,0
5,13,265,0,17.54,24734,128,123,11,3,1
6,27,292,0,31.59,24706,108,164,17,3,2
7,41,333,0,31.59,24663,116,194,19,3,5
8,22,355,0,17.77,24636,123,203,25,3,10
9,9,364,0,17.48,24616,134,199,28,3,20
10,5,369,0,17.42,24601,127,210,28,4,30
11,9,378,0,17.91,24588,106,238,30,4,34
12,8,386,0,17.67,24571,94,260,29,3,43
13,18,404,0,32.12,24541,95,275,29,5,55
14,20,424,0,32.0,24508,107,280,34,3,68
15,13,437,0,17.87,24483,121,279,31,5,81
16,8,445,0,17.77,24460,126,277,36,4,97
17,6,451,0,17.68,24443,124,283,40,4,106
18,16,467,0,18.1,24421,118,292,52,5,112
19,6,473,0,18.17,24402,109,298,63,3,125
20,34,507,0,31.75,24361,123,317,62,5,132
21,8,515,0,32.28,24338,124,319,65,7,147
22,13,528,0,17.85,24312,130,325,65,8,160
23,2,530,0,17.99,24294,123,328,68,10,177
24,2,532,0,17.88,24274,127,325,67,13,194
25,8,540,1,17.75,24249,112,349,65,14,210
26,6,546,1,18.07,24223,111,354,64,16,231
27,16,562,1,32.28,24186,126,361,61,14,251
28,14,576,1,31.73,24155,138,362,64,10,270
29,-5,571,1,17.77,24140,131,366,65,8,289
30,7,578,1,17.92,24111,135,370,67,6,310
31,6,584,1,18.3,24086,128,380,70,6,329
32,-6,578,1,17.99,24057,130,381,60,6,365
33,1,579,1,18.22,24030,125,387,61,6,390
34,0,579,1,31.59,24003,133,377,63,3,420
35,7,586,1,32.44,23971,140,371,69,5,443
36,21,607,1,18.05,23933,154,372,74,5,461
37,-9,598,1,17.85,23909,144,380,71,3,492
38,11,609,1,17.94,23876,149,383,73,2,516
39,7,616,1,17.99,23846,155,386,72,3,537
40,-4,612,1,18.22,23822,145,393,71,2,566
41,18,630,1,32.23,23783,149,404,72,5,586
42,28,658,1,32.35,23733,170,409,73,4,610
43,-7,651,1,18.0,23715,158,410,79,3,634
44,4,655,1,18.21,23678,170,414,68,2,667
45,17,672,1,18.26,23643,170,434,59,6,687
46,-7,665,1,18.25,23619,156,445,55,8,716
47,-5,660,1,18.19,23586,156,434,61,9,753
48,17,677,2,32.5,23545,167,433,70,7,776
49,9,686,2,32.69,23516,160,447,70,8,797
50,13,699,2,18.05,23480,160,452,80,6,820
51,-2,697,2,18.46,23454,162,441,87,7,847
52,1,698,2,18.29,23431,145,455,89,8,870
53,20,718,2,18.67,23388,153,465,92,8,892
54,17,735,2,18.21,23342,166,472,89,8,921
55,24,759,2,32.87,23297,182,477,91,8,943
56,9,768,2,32.12,23255,199,477,87,5,975
57,-6,762,2,18.02,23227,201,471,82,8,1009
58,8,770,2,18.1,23191,198,481,82,9,1037
59,16,786,2,18.32,23145,193,500,83,10,1067
60,35,821,2,18.16,23084,208,508,93,10,1095
61,5,826,2,18.52,23048,207,513,94,11,1125
62,9,835,2,32.45,23004,217,516,90,10,1161
63,24,859,2,32.51,22943,242,518,88,10,1197
64,9,868,2,18.25,22902,237,522,99,9,1229
65,10,878,2,18.2,22860,222,551,95,9,1261
66,27,905,2,18.07,22799,242,565,85,13,1294
67,-6,899,2,18.4,22771,227,566,93,13,1328
68,18,917,2,18.18,22722,226,576,100,13,1361
69,38,955,2,32.52,22651,246,590,104,11,1396
70,19,974,3,32.6,22590,260,597,108,7,1435
71,16,990,3,18.67,22546,258,599,122,9,1463
72,-4,986,3,18.29,22503,261,596,120,8,1509
73,-3,983,3,18.53,22463,250,591,130,10,1553
74,16,999,3,18.25,22408,234,628,125,12,1590
75,18,1017,3,18.51,22354,235,637,131,12,1628
76,20,1037,3,32.81,22294,245,642,135,15,1666
77,13,1050,3,33.08,22236,262,644,126,17,1712
78,11,1061,3,18.4,22190,263,658,122,14,1750
79,7,1068,3,18.51,22135,264,680,106,16,1796
80,1,1069,3,18.47,22085,252,696,104,16,1844
81,26,1095,3,18.79,22026,256,715,110,13,1877
82,-3,1092,3,18.66,21976,257,709,116,9,1930
83,35,1127,3,33.05,21900,289,699,122,16,1971
84,35,1162,3,32.81,21831,305,712,126,16,2007
85,7,1169,3,18.44,21778,305,722,122,18,2052
86,32,1201,3,18.91,21707,313,736,134,17,2090
87,14,1215,3,18.62,21643,322,739,139,14,2140
88,3,1218,3,18.65,21590,299,765,134,15,2194
89,-9,1209,3,18.73,21540,282,778,132,16,2249
90,25,1234,3,33.07,21459,311,775,130,17,2305
91,21,1255,3,32.95,21390,323,788,127,16,2353
92,10,1265,3,18.89,21340,297,818,137,12,2393
93,-7,1258,3,18.82,21291,301,803,140,12,2450
94,2,1260,3,18.7,21231,304,794,147,14,2507
95,14,1274,3,19.06,21180,267,832,156,19,2543
96,22,1296,3,18.89,21110,275,856,146,18,2592
97,30,1326,3,33.05,21032,318,844,144,19,2640
98,17,1343,3,33.22,20965,325,855,145,17,2690
99,4,1347,3,18.86,20903,338,842,151,15,2748
100,5,1352,3,19.04,20848,333,851,153,14,2798
101,3,1355,3,19.03,20788,321,874,145,12,2857
102,10,1365,3,19.19,20717,313,899,137,11,2920
103,-8,1357,3,19.16,20660,305,890,146,14,2982
104,17,1374,4,33.82,20590,308,892,158,15,3033
105,38,1412,4,33.77,20509,335,893,171,13,3075
106,-10,1402,4,19.37,20458,323,900,162,15,3138
107,-5,1397,4,19.34,20401,321,893,167,16,3198
108,-1,1396,4,19.18,20346,309,902,166,18,3255
109,3,1399,4,19.21,20288,297,909,170,17,3315
110,-5,1394,4,18.95,20231,289,923,166,14,3373
111,52,1446,4,33.32,20125,321,939,172,12,3427
112,-8,1438,4,33.31,20054,343,911,168,13,3507
113,-6,1432,4,19.0,20011,326,912,182,11,3554
114,-14,1418,4,18.81,19948,341,889,179,8,3631
115,10,1428,4,19.28,19882,327,908,181,12,3686
116,4,1432,5,18.95,19819,304,929,182,14,3747
117,13,1445,6,19.09,19748,300,947,175,20,3804
118,-8,1437,6,32.88,19675,323,923,168,21,3884
119,25,1462,7,33.46,19594,347,918,175,19,3940
120,-6,1456,7,19.38,19539,339,920,181,14,4000
121,-14,1442,7,19.19,19493,321,930,178,11,4060
122,-9,1433,7,19.17,19439,296,947,171,17,4123
123,0,1433,7,19.15,19372,293,950,169,20,4189
124,-4,1429,8,19.03,19308,285,960,161,20,4258
125,26,1455,8,33.26,19214,335,939,165,15,4324
126,8,1463,8,33.79,19136,353,931,163,15,4394
127,-27,1436,9,18.98,19105,323,928,169,14,4452
128,7,1443,9,19.05,19041,324,938,164,15,4509
129,3,1446,9,19.41,18970,320,940,175,9,4577
130,7,1453,9,19.08,18901,299,954,186,11,4640
131,-6,1447,9,19.33,18842,295,955,180,13,4706
132,33,1480,10,34.19,18750,352,924,191,11,4762
133,17,1497,10,33.75,18667,373,921,192,11,4826
134,-12,1485,10,19.03,18616,349,936,186,12,4891
135,-9,1476,10,19.28,18561,339,932,191,13,4954
136,0,1476,10,19.26,18492,335,948,176,17,5022
137,-22,1454,10,19.39,18437,307,970,160,16,5100
138,0,1454,10,19.59,18373,292,975,167,17,5166
139,13,1467,10,33.62,18293,311,949,183,21,5233
140,12,1479,10,34.28,18220,336,934,182,25,5293
141,-17,1462,10,19.17,18166,333,927,176,24,5364
142,1,1463,10,19.21,18098,332,920,187,20,5433
143,-11,1452,11,19.48,18040,323,927,184,17,5498
144,-2,1450,11,19.13,17971,321,923,185,18,5571
145,-7,1443,11,19.28,17918,302,928,185,27,5629
146,38,1481,11,33.63,17820,339,931,183,26,5690
147,5,1486,11,34.18,17754,343,927,195,21,5749
148,-7,1479,11,19.09,17700,332,941,186,18,5812
149,-34,1445,11,19.57,17654,320,923,182,19,5891
150,-23,1422,11,19.33,17592,315,907,183,15,5977
151,-25,1397,11,19.05,17542,285,918,181,13,6050
152,0,1397,11,19.32,17487,270,930,181,15,6106
153,0,1397,11,34.0,17421,277,930,173,15,6173
